"WARRINGTON (HOWLEY YARD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2819,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.56,3.55,4.85,4.25,2.13,3.88,2.45,7.48,2.51,1.03,,
February,3.42,1.72,2.08,1.45,2.91,5.71,0.68,1.81,1.66,4.54,,
March,2.52,2.80,0.61,0.74,1.88,0.89,4.95,1.00,2.34,1.31,,
April,1.10,1.52,1.19,2.50,1.20,1.09,2.40,1.32,2.67,2.73,,
May,2.06,3.66,2.63,2.04,4.54,1.59,1.98,1.48,4.47,1.16,,
June,0.52,0.33,2.59,1.94,3.09,2.96,2.11,3.65,0.63,2.77,,
July,2.81,4.02,1.90,2.86,2.16,3.44,1.91,1.70,1.59,3.15,,
August,4.74,3.30,3.88,3.07,3.09,4.26,0.30,4.20,1.74,4.00,,
September,0.82,1.93,3.91,5.31,1.55,4.57,2.81,1.58,0.71,4.26,,
October,4.16,4.25,2.95,4.10,4.91,0.67,0.78,2.18,3.40,2.69,,
November,2.75,0.53,2.32,5.87,0.42,4.60,2.92,1.90,4.79,4.26,,
December,0.90,4.09,1.69,2.66,3.09,3.05,3.33,3.15,4.39,3.11,,
Total,28.36,31.70,30.60,36.79,30.97,36.71,26.62,31.45,30.90,35.01,,
Calc annual,28.36,31.70,30.60,36.79,30.97,36.71,26.62,31.45,30.90,35.01,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
