"BURWARTON (DINGLE LEYS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2272/8,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,4.10,4.11,6.26,3.01,2.35,3.35,3.03,5.75,1.90,0.88,,
February,3.25,0.75,1.83,1.83,2.20,3.29,3.01,1.72,1.03,5.43,,
March,3.74,2.97,1.50,0.58,1.50,0.98,7.93,1.44,2.05,1.30,,
April,1.79,1.55,1.21,2.12,1.26,1.79,2.61,2.81,2.42,2.39,,
May,3.22,5.08,3.43,1.02,3.45,3.12,3.40,2.30,2.46,1.67,,
June,2.44,1.16,1.66,1.89,4.38,3.00,1.54,2.74,1.28,1.63,,
July,2.55,1.19,1.91,2.05,2.43,1.87,4.42,1.50,3.56,3.28,,
August,3.82,2.31,2.00,2.60,4.04,6.24,1.00,5.37,1.96,4.51,,
September,1.52,2.27,3.40,3.49,2.08,5.18,1.28,2.94,1.65,5.04,,
October,2.31,2.13,2.71,4.22,4.46,0.81,0.58,2.72,5.56,1.08,,
November,3.36,0.90,2.93,4.76,0.48,6.22,2.53,1.89,3.54,5.41,,
December,2.09,3.98,1.65,2.22,3.92,3.88,3.26,6.19,2.54,2.50,,
Total,34.19,28.40,30.49,29.79,32.55,39.73,34.59,37.37,29.95,35.12,,
Calc annual,34.19,28.40,30.49,29.79,32.55,39.73,34.59,37.37,29.95,35.12,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
