"BOLTON W.W. (HOLDEN'S FARM)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2878,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.18,5.60,7.10,7.23,5.00,6.30,4.42,11.03,3.82,4.80,,
February,6.50,2.75,3.75,3.07,7.50,8.00,1.84,3.39,3.36,6.38,,
March,4.15,4.28,1.49,1.25,1.87,1.20,8.00,2.21,2.96,3.06,,
April,2.22,2.69,3.75,3.02,3.02,1.54,4.18,2.69,4.71,4.30,,
May,3.29,4.46,3.78,4.69,4.35,1.60,3.24,2.30,4.38,2.52,,
June,0.64,0.95,5.20,4.29,5.70,4.28,3.41,7.94,1.20,3.35,,
July,2.42,6.95,3.65,4.75,3.30,4.60,3.95,3.26,2.69,5.52,,
August,8.38,6.70,9.69,4.05,3.41,8.44,0.27,6.53,3.22,7.77,,
September,1.65,3.89,5.46,7.81,3.86,8.94,4.38,4.18,2.84,9.95,,
October,5.72,10.08,4.78,6.83,7.41,1.63,1.21,4.32,5.47,4.03,,
November,3.59,1.65,5.82,8.29,0.94,8.78,6.31,2.99,6.78,8.04,,
December,3.63,5.96,3.56,5.18,4.26,5.07,4.68,5.41,7.81,4.49,,
Total,44.37,55.96,58.03,60.46,50.62,60.38,45.89,56.25,49.24,64.21,,
Calc annual,44.37,55.96,58.03,60.46,50.62,60.38,45.89,56.25,49.24,64.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
