"THEYDON BOIS (THRIFTS HILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1263/8,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.68,1.59,4.20,1.50,2.02,1.30,1.61,3.71,1.06,,,
February,1.78,0.85,1.16,0.76,1.43,2.54,1.11,1.59,0.99,,,
March,2.91,1.87,0.35,0.15,0.74,0.98,4.67,0.56,0.75,,,
April,1.47,1.02,1.19,1.24,1.07,1.60,1.61,1.40,1.30,,,
May,1.79,2.07,1.33,0.65,2.84,2.33,0.74,2.92,1.86,,,
June,0.68,0.20,1.53,1.84,1.69,2.92,2.28,2.11,0.64,,,
July,2.46,1.48,1.15,1.46,3.35,2.47,2.37,0.88,0.96,,,
August,4.08,1.99,1.34,3.11,1.18,4.03,0.05,3.70,1.57,,,
September,0.62,1.35,1.41,2.79,1.35,2.47,1.51,1.19,0.45,,,
October,0.83,4.14,2.14,3.05,1.89,1.33,0.20,2.10,4.86,,,
November,2.12,2.19,1.65,3.39,0.22,3.57,0.87,2.14,1.94,,,
December,1.51,2.18,1.52,1.08,2.70,1.87,2.32,1.96,1.51,,,
Total,22.93,20.93,18.97,21.02,20.48,27.41,19.34,24.26,17.89,,,
Calc annual,22.93,20.93,18.97,21.02,20.48,27.41,19.34,24.26,17.89,0.00,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,,
