"BLAENAU FESTINIOG (LLECHWEDD QUARRY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4337,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.40,14.22,11.83,18.41,9.22,15.31,8.99,23.52,9.89,7.81,,
February,9.14,5.23,9.58,6.35,14.39,15.90,0.52,8.58,6.00,12.78,,
March,7.72,6.19,5.09,2.04,6.13,4.18,11.80,8.06,6.05,5.93,,
April,4.12,3.31,5.06,6.25,5.39,3.89,8.57,4.46,10.89,11.42,,
May,7.72,5.90,8.39,7.69,8.96,2.63,4.03,3.38,6.47,1.91,,
June,1.32,1.00,11.31,8.53,8.49,11.98,4.51,13.72,2.61,8.92,,
July,3.58,10.72,9.27,9.38,5.98,8.65,9.15,7.00,4.94,8.98,,
August,11.41,7.95,17.29,8.19,2.99,10.53,0.79,12.09,9.18,14.90,,
September,1.76,10.99,10.86,11.42,9.50,18.23,7.85,14.71,2.52,20.42,,
October,10.93,16.33,12.75,11.41,8.82,1.92,1.55,10.43,12.05,10.82,,
November,5.27,2.55,8.33,15.72,1.14,13.87,18.70,10.38,10.39,10.80,,
December,9.73,15.26,4.09,12.85,7.68,12.94,9.40,9.70,17.27,6.77,,
Total,76.10,99.65,113.85,118.24,88.69,120.03,85.86,126.03,98.26,121.46,,
Calc annual,76.10,99.65,113.85,118.24,88.69,120.03,85.86,126.03,98.26,121.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
