"LINCOLN (BUNTON ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2557/3,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,2.61,3.91,2.27,1.92,1.61,2.22,3.86,1.20,1.05,,
February,,1.31,0.51,2.51,1.64,2.36,1.97,0.75,0.62,4.17,,
March,,1.37,0.48,0.61,0.75,1.43,4.49,0.51,1.15,0.92,,
April,,-999.00,1.05,1.94,1.35,1.87,1.90,1.25,2.10,2.55,,
May,1.52,2.85,2.46,1.58,1.93,1.64,0.80,1.97,2.18,2.40,,
June,0.39,1.38,1.30,1.71,2.44,2.25,2.57,3.60,0.85,1.24,,
July,3.70,2.49,0.92,2.54,1.53,2.17,1.65,1.74,3.96,2.52,,
August,3.39,2.70,1.73,3.09,3.19,4.19,0.14,2.84,2.33,2.20,,
September,0.70,1.51,3.03,3.19,1.29,3.49,0.86,2.27,2.70,4.93,,
October,3.08,1.73,1.62,3.05,2.51,1.34,0.30,1.64,3.25,0.62,,
November,2.83,2.23,1.71,3.88,0.61,5.27,1.21,1.10,2.76,4.98,,
December,0.37,2.03,0.65,1.22,1.67,3.06,2.28,3.09,0.97,1.58,,
Total,,23.22,19.37,27.59,20.83,30.68,20.39,24.62,24.07,29.16,,
Calc annual,15.98,22.21,19.37,27.59,20.83,30.68,20.39,24.62,24.07,29.16,,
Difference,NaN,1.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
