"WATFORD (LEGGATTS WAY SCHOOL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,900/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,1.45,,2.26,1.60,4.74,1.23,,,
February,,,,0.94,,2.23,0.98,1.39,1.56,,,
March,,,,0.13,,0.95,5.22,0.73,1.19,,,
April,,,,1.85,,1.37,2.34,1.90,1.50,,,
May,,,,0.70,,3.13,0.94,3.24,1.71,,,
June,,,,1.78,,2.36,2.23,2.92,0.57,,,
July,,,,1.59,,1.99,2.14,0.94,1.70,,,
August,,,,2.99,,4.11,0.08,2.67,1.40,,,
September,,,,2.47,,3.13,1.22,1.52,0.70,,,
October,,,,3.46,,1.06,0.06,2.34,6.20,,,
November,,,,3.96,,5.10,0.97,1.38,2.68,,,
December,,,,1.42,,2.10,2.26,2.80,1.77,,,
Total,,,,22.74,,29.79,20.04,26.57,22.21,,,
Calc annual,0.00,0.00,0.00,22.74,0.00,29.79,20.04,26.57,22.21,0.00,,
Difference,NaN,NaN,NaN,-0.00,NaN,0.00,0.00,0.00,0.00,NaN,,
