"WALSALL (WEDNESBURY SEW WKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2330,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.38,3.05,5.20,,,,,,,,,
February,2.20,1.08,1.43,,,,,,,,,
March,2.72,1.62,0.79,,,,,,,,,
April,1.60,1.45,1.18,,,,,,,,,
May,3.18,3.45,3.36,,,,,,,,,
June,1.33,0.51,1.73,,,,,,,,,
July,3.36,1.95,0.85,,,,,,,,,
August,3.94,2.74,1.68,,,,,,,,,
September,0.81,1.19,2.07,,,,,,,,,
October,2.60,2.55,1.83,,,,,,,,,
November,3.36,1.22,1.64,,,,,,,,,
December,1.60,2.74,1.19,,,,,,,,,
Total,30.08,23.55,22.95,,,,,,,,,
Calc annual,30.08,23.55,22.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
