MARSDEN DEER HILL - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE070113,Long,-1.895703,Lat,53.598225,Elevation,1149,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.75,3.28,1.17,4.65,2.08,2,1.81,4,7.47,7.36,2.38,3.75,5.8,5.12,2.63,6.82,1.42,3.85,3.52,5.3,5.74,4.48,4.61,4.48,6.79,4.4,1.67,3.04,4.14,4.7,8.29,4.03,5.02,3.64,5.49,5.24,4.59,12.34,1.41,6.68,5.82,6.89,3.91,4.43,1.99,4.11,5.44,6.82,5.12,3.03,3.82,5.24,7.58,8.69,5.73,7.11,4.92,11.71,3.09,3.34,5.32,6.42,2.55,4.56,3.78,5.87,5.84,5.26,5.78,7.71
February,,0.66,1.88,6.62,8.59,1.05,2.07,3.59,4.11,1.93,3.7,1.5,1.04,5.66,5.05,2.72,4.4,3.16,3.44,3.75,7.04,1.18,2.22,1.96,3.38,4.9,4.35,0.59,8.41,1.16,4.44,0.57,5.36,6.79,1.22,6.82,4.46,1.71,5.69,0.51,0.89,6.05,0.38,6.92,0.35,6.83,2.25,5.25,2.21,4.85,2.38,6.29,1.69,4.03,2.53,8.26,9.74,1.59,4.49,3.7,7.08,3.85,1.94,1.76,3.93,2.68,1.62,3.91,7.37,0.51,4.57
March,,2.61,0.86,0.57,3.53,3.93,5.98,4.97,1.58,3.03,0.92,3.46,2.98,6.98,2.67,5.14,4.95,4.06,3.78,0.58,3.13,7.53,5.43,7.57,6.01,1.32,2.44,2.34,1.89,4.53,3.17,4.33,3.35,2.89,1.46,1.66,2.09,5.51,2.72,1.29,2.36,0.39,3.4,3.55,3.74,2.41,3.9,1.83,1.51,3.5,4.05,5.09,3.62,2.33,0.73,1.84,2.18,7.13,2.52,1.82,3,6.94,2.7,3.39,3.78,2.88,2.34,4.89,3.29,2.5,2.26
April,,2.49,1.54,0.86,3.5,2.73,1.78,3.79,3.46,3.45,2.94,2.42,2.15,3.05,4.24,3.75,1.93,2.88,2.08,3.25,1.35,0.78,1.2,5.19,1.85,1.94,3.23,1.4,1.44,2.29,6.89,1.74,4.08,3.6,2.45,3.19,2.37,4.05,1.44,1.46,3.05,4.42,4.87,1.5,2.64,4.48,2.33,2.57,0.7,2.79,3.6,3.08,3.12,3.18,4.24,2.36,2.04,5.67,3.13,4.92,4.74,3.44,4.21,4.85,1.01,2.61,3.61,0.67,2.06,5.87,3.17
May,,3.75,4.8,2.5,2.83,2,0.61,2.15,4.05,3.36,1.73,1.61,3.47,4.34,3.04,0.83,3.96,4.58,2.67,4.11,4.81,4.33,4.45,3.48,2.54,2.05,2.88,2.35,4.31,2.36,6.65,2.41,1.98,4.72,6.77,4.61,4.98,1.76,2.11,3.74,2.65,3.44,5.71,2.02,3.57,0.76,1.76,2.99,4.8,1.75,1.23,3.31,5.2,3.73,5.61,4.92,2.3,4.21,2.21,3.33,2.96,4.15,2.6,3.08,4.33,5.4,2.38,1.41,5.94,2.07,3.52
June,,2.78,4.16,2.26,4.11,4.62,3.94,3.91,3.7,2.05,4.67,1.57,1.64,1.49,1.28,3.44,2.29,8.24,2.13,2.56,3.04,0.37,5.2,3.36,2.83,1.29,3.57,2.4,2.17,1.89,3.53,0.34,3.03,1.12,2.73,0.04,3.73,4.58,5.9,1.57,3.53,6.25,0.59,3.14,2.5,3.88,6.09,2.67,4.77,3.34,0.99,1.08,1.57,4,3.74,6.65,4.35,4.62,5.53,0.68,2.52,1.46,3.6,5.45,4.45,4.44,3.87,2.43,6.38,2.14,2.04
July,,3.27,3.5,4.81,3.95,8.09,2.81,1.77,1.3,1.75,3.49,4.02,3.43,4.96,2.99,3.53,2.75,2.82,4.8,4.1,5.38,4.16,5.89,1.39,3.61,4.92,2.89,2.02,4.65,3.25,9.59,2.12,5.74,5.46,4.46,1.78,3.49,3.35,1.83,2.06,7.79,4.71,5,3.94,3.48,2.27,4.32,2.74,5.16,7.82,4.46,1.61,4.52,3.73,3.57,2.73,6.15,2.9,2.5,3.24,4.09,4.44,2.87,7.46,5.79,1.35,8.01,5.41,5.89,3.95,7.21
August,,9.28,4.57,2.54,4.69,3.88,2.47,4.06,6.54,3.3,6.4,1.96,4.13,5.79,5.3,6.31,3.97,3.99,4.61,6.44,3.68,1.67,8.25,2.16,3.14,5.56,3.42,7.09,2.92,3.94,3.67,6.75,6.83,5.53,4.8,4.51,4.8,6.76,5.1,5.24,6.04,7.07,2.48,2.11,3.22,2.07,2.26,1.49,4.99,2.11,2.72,8.57,6.71,6.79,5.42,5.45,6.9,0.36,6.33,3.66,7.21,7.54,4.76,6,7.22,1.02,12.23,7.51,5.42,0.68,7.5
September,,4.33,4.27,4.17,1.11,1.27,9.03,4.03,0.77,8.22,1.44,0.91,3.24,6.21,1.71,3.36,1.64,0.96,3.63,5.03,5.83,4.64,2.53,2.15,3.01,0.67,2.66,2.69,14.92,2.43,2.27,1.38,4.91,4.97,5.81,3.95,3.43,6.99,0.65,1.92,5.79,5.01,5.85,2.96,3.07,7.46,6.03,1.98,2.47,1.97,5.07,0.65,3.52,5.52,6.68,3.88,8.16,3.14,3.33,1.72,7.59,2.99,4.65,3.63,6.35,3.69,5.3,7.57,5.74,0.36,3.58
October,,8.22,8.26,3.7,6.88,5.45,5.69,2.4,5.86,4.08,6.57,3.32,6.01,10.91,1.78,4.48,7.24,7.73,2.54,5.6,1.72,3.39,4.19,3.32,2.75,1.9,8.46,7.94,3.4,3.26,2.06,2.7,1.41,6.18,6.12,6.86,4.62,5.13,6.06,5.98,7.07,2.91,8.07,5.67,6.32,11.48,5.91,3.2,11.25,3.17,5.67,6.04,7.67,3.2,5.94,6.98,1.97,1.59,3.06,5.11,3.31,1.58,6.7,2.87,9.21,4.03,3.83,6.69,5.37,5.22,7.12
