"MARSDEN, DEER HILL - Old gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE070113,Long,-1.895703,Lat,53.598225,Elevation,1149,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.91,4.71,1.89,1.75,2.61,5.1,3.9,3.54,1.26,4.62,2.04,2.05,1.75,3.67,7.54,6.66,2.59,3.16,4.99,4.91,2.38,5.99,1.16,3.47,3.34,4.81,4.7,4.07,4.33,3.84,6.6,4.12,1.51,2.9,3.78,4.3,7.43,3.39,4.24,3.38,4.74,4.8,4.1,11.6,1.38,6.76,5.55,6.96,4.04,4.64,2.26,4.32,5.89,7.26,5.72,2.91,3.61,4.52,7.22,7.83,4.79,7.05,4.53,11.81,2.74,3.14,5.29,6.65,2.43,4.44,3.63,5.77,5.06,,,
February,,,,,,4.62,0.94,1.16,0.92,2.64,0.83,0.63,1.94,6.2,8.52,1.01,2.05,3.14,3.79,1.88,3.48,1.44,1.05,4.73,4.71,2.6,3.96,2.75,3.09,3.18,7.01,0.88,2.14,1.66,3.26,4.7,4.1,0.57,7.3,1.19,4,0.5,4.88,6.22,0.97,6.24,4.14,1.6,5.47,0.51,0.89,6.03,0.38,7.06,0.38,7.18,2.39,5.95,2.4,5.22,2.18,6.25,1.42,3.81,2.26,7.25,9.02,1.41,4.22,3.36,7.05,3.33,2.03,1.76,3.92,2.51,1.55,3.89,,,
March,,,,,,3.91,3.07,2,3.12,2.5,3.8,2.59,0.85,0.43,3.48,3.93,5.57,4.6,1.52,2.44,0.95,3.53,2.15,6.94,2.6,4.84,4.37,3.75,3.62,0.64,2.89,6.32,5.05,6.83,5.48,1.18,2.4,2.28,1.82,4.37,2.91,3.98,3.07,2.73,1.39,1.47,1.65,5.35,2.59,1.17,2.34,0.39,3.66,3.6,4.03,2.49,4.13,2.07,1.73,3.71,3.84,4.76,3.32,2.14,0.59,1.57,1.93,6.84,2.47,1.93,2.99,6.61,2.89,3.21,3.64,2.97,2.28,4.49,,,
April,,,,,,2.16,3.35,1.57,2.93,3.18,2.39,2.35,1.6,0.77,3.35,2.67,1.78,3.71,3.47,3.15,2.69,2.41,1.99,2.65,3.94,3.52,1.81,2.76,1.96,3.08,1.24,0.67,1.16,4.91,1.77,1.85,2.83,1.31,1.4,2.18,6.81,1.68,3.79,3.37,2.35,2.91,2.34,3.97,1.42,1.41,2.92,4.35,5.17,1.66,2.88,4.63,2.47,2.8,0.71,2.93,3.51,2.85,3.04,2.91,3.92,1.96,1.92,5.13,3.13,4.71,4.63,3.64,4.21,4.58,0.97,2.31,3.57,0.61,,,
May,,,,,,2.42,5.72,2.51,1.18,3.23,3.85,3.82,4.69,2.37,2.75,1.94,0.61,1.99,3.75,3.22,1.68,1.54,3.33,4.25,3.03,0.78,3.93,4.36,2.53,3.87,4.67,4.11,4.27,3.36,2.44,2.1,2.83,2.34,4.13,2.28,6.34,2.35,1.84,4.46,6.56,4.47,4.65,1.67,2.11,4.05,2.56,3.4,5.9,2.05,3.84,0.83,1.77,3.1,4.91,1.74,1.23,3.22,5.06,3.37,5.04,4.37,2.17,4.12,2.16,3.17,2.95,4.08,2.86,2.84,3.98,5.22,1.94,1.44,,,
June,,,,,,4.4,1.94,0.4,3.75,0.65,3.3,2.56,3.84,2.12,3.93,4.55,4.1,3.75,3.55,2.02,4.56,1.64,1.59,1.51,1.24,3.34,2.18,8,1.95,2.49,2.73,0.28,5.06,2.99,2.82,1.29,3.51,2.39,2.01,1.79,3.55,0.33,2.75,0.94,2.56,0.04,3.41,4.51,5.92,1.59,3.47,6.14,0.62,3.2,2.61,3.99,6.14,2.82,4.95,3.5,0.95,1.03,1.51,3.67,3.26,6.18,4.19,4.35,5.19,0.61,2.4,1.37,3.65,5.03,3.94,3.97,3.86,2.45,,,
July,,,,,,1.74,4.8,2.38,8.37,3.44,3.3,3.25,3.44,4.6,3.81,8.1,2.78,1.53,1.18,1.64,3.39,3.99,3.19,4.97,2.94,3.33,2.55,2.72,4.65,4,5.24,3.9,5.75,1.34,3.54,4.93,2.88,1.85,4.49,3.23,9.48,1.93,5.47,5.18,4.35,1.77,3.34,3.27,1.77,2.03,7.57,4.91,5.05,4.05,3.65,2.37,4.54,2.86,5.35,8.08,4.35,1.57,4.59,3.51,3.08,2.45,6.17,2.6,2.57,3.23,3.67,4.09,2.97,7.59,5.48,1.35,7.83,5.6,,,
August,,,,,,1.8,2.51,1.73,3.84,5.71,5.84,8.74,4.77,2.4,4.51,3.99,2.29,4.02,6.13,3.15,6.3,2.04,4.07,5.71,5.18,6.23,3.71,3.52,4.04,6.02,3.52,1.48,8.03,2.09,2.99,5.48,3.4,7.01,2.6,3.83,2.59,6.71,6.77,5.1,4.41,4.34,4.56,6.55,5.02,5.25,6.05,7.16,2.61,2.19,3.42,2.13,2.4,1.56,5.15,2.2,2.61,8.47,6.54,6.16,4.99,5.09,6.56,0.31,5.98,3.54,7.05,6.78,4.83,5.9,6.77,0.98,12.53,5.82,,,
September,,,,,,4.95,3.65,4.56,1.56,3.19,1.8,4.31,4.32,3.97,0.98,1.25,9.18,3.91,0.66,7.82,1.33,0.86,3.01,6.09,1.68,3.28,1.49,0.87,3.42,4.72,5.22,4.51,2.13,2.1,3.02,0.67,2.7,2.43,14.38,2.24,2.14,1.32,4.59,4.44,5.36,3.37,3.31,6.73,0.66,1.96,5.71,5.07,5.65,3,3.17,7.68,6.35,2.09,2.57,1.92,4.69,0.62,3.32,5.26,6.12,3.71,7.85,3.06,3.16,1.65,7.85,2.75,4.45,3.51,6.66,3.28,5.29,7.37,,,
October,,,,,,7.18,5.68,3.4,2.07,6.11,3.62,7.83,7.79,3.6,6.6,5.43,5.62,2.27,5.61,3.72,6.17,3.48,5.59,10.68,1.61,4.36,7.11,7.79,2.4,5.33,1.59,3.18,3.84,3.27,2.69,1.91,8.28,7.39,3.14,3.33,2.06,2.65,1.39,5.54,5.83,6.73,4.34,4.9,5.95,6.05,6.78,3.01,8.21,5.84,6.63,11.98,6.51,3.25,12.11,3.18,5.54,5.96,7.73,3,5.3,7.05,1.84,1.34,2.92,5.15,3.52,1.61,6.87,2.72,8.77,3.44,3.64,6.89,,,
November,,,,,,3.03,2.48,2.82,9.54,1.93,6.62,4.47,3.73,3.18,3.31,4.64,1.67,4.93,2.79,2.07,3.61,6.7,2.77,3.45,3.39,5.94,5.04,3.55,2.8,2.59,5.12,7.62,4.5,5.32,6.42,1.95,4.05,4.29,2.29,3.35,2.6,2.34,3.28,6.46,2.9,2.47,5.37,5.14,8.84,9.53,5.99,7.72,4.62,2.23,3.01,7.65,7.54,2.94,6.4,9.07,8.72,4.15,1.75,4.09,8.75,1.08,10.75,9.16,2.17,8.08,6.9,10.86,2.72,5.29,8.42,2.45,2.08,3.68,,,
December,,,,,,1.74,6.17,3.15,3.27,2.67,0.56,9.37,1.74,5.3,3.88,4.87,5.94,5.28,5.97,2.75,6.04,4.57,4.41,2.94,3.49,1.41,3.44,4.53,2.73,7.76,3.43,4.1,5.7,3.08,7.35,8.14,2.73,1.42,7.7,7.26,4.26,7.24,4.03,3.61,5.74,4.08,2.19,1.35,3.37,8.22,3.53,2.94,2.55,0.56,6.73,3.13,5.12,2.54,4.83,3.87,4.16,3.17,4.56,2.91,4.76,3.5,4.74,5.71,5.33,9.94,2.69,9.02,5.31,2.35,7.24,7.29,4.59,5.58,,,
Total,,,,,,40.86,45.02,27.57,42.3,37.86,41.01,53.82,42.25,36.2,49.74,44.42,43.64,40.88,42.09,41.4,46.86,34.79,36.31,58.91,38.72,42.01,45.58,45.76,36.66,47.02,47.47,41.75,51.7,41.28,45.62,40.8,43.83,34.79,54.16,38.83,51.04,38.46,45.25,52.29,45.8,42.63,44.1,49.14,54.72,43.15,54.57,56.67,51.38,39.48,44.99,56.32,53.68,37.87,58.37,51.14,44.69,45.66,47.36,48.05,55.9,49,64.19,48.56,51.11,48.11,54.84,59.43,49.44,47.21,64.23,39.4,54.93,52.88,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 May 2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893 Nov 3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
