ELMSTONE-COURT-FARM (PRESTON OLD VICARAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TR256604,Long,1.234734,Lat,51.298003,Elevation,34,ft,,,,,,,,,,,,
Station no,299/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.31,2.44,2.46,2.43,4.63,1.25,,,,,,
February,,,,,,,,,1.1,1.72,1.91,1.47,1.27,1.31,,,,,,
March,,,,,,,,,1.81,2.36,1.65,1.91,0.21,0.15,,,,,,
April,,,,,,,,,2.08,0.87,1.46,0.83,1.24,1.3,,,,,,
May,,,,,,,,,1.7,0.29,1.18,2.83,2.09,0.57,,,,,,
June,,,,,,,,1.26,1.51,0.3,1.04,0.39,1.22,1.11,,,,,,
July,,,,,,,,1.97,1.58,1.97,3.62,2.91,2.17,2.16,,,,,,
August,,,,,,,,3.25,1.35,0.05,3.52,2,1.3,1.7,,,,,,
September,,,,,,,,2.47,2.35,1.61,0.31,2.25,1.4,3.1,,,,,,
October,,,,,,,,3.12,11.49,3.25,2.27,3.21,1.45,5.95,,,,,,
November,,,,,,,,2.39,3.96,5.87,2.92,2.85,2.59,3.9,,,,,,
December,,,,,,,,2.66,0.96,1.57,1.45,2.56,1.82,1.72,,,,,,
Total,,,,,,,,,34.2,22.3,23.79,25.64,21.39,24.22,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1945 Gauge moved approc 400m East,,,,,,,,,,,,,,,,,,,,
