"BALRUDDERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5592,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.59,3.77,4.29,1.22,3.06,2.55,3.27,4.77,1.69,-999.00,,
February,4.86,1.67,1.37,0.80,2.58,1.40,3.34,3.08,1.38,2.40,,
March,1.95,2.40,0.88,0.18,0.73,2.23,3.71,0.92,1.58,1.90,,
April,1.75,1.16,1.31,2.43,1.37,0.37,2.03,1.17,1.66,1.30,,
May,3.07,3.59,3.88,2.28,4.28,1.68,4.74,4.10,1.88,1.70,,
June,1.42,2.18,2.51,2.02,3.01,3.00,4.05,3.87,1.23,1.40,,
July,4.70,2.08,2.79,2.32,3.82,3.88,4.26,2.40,3.66,4.30,,
August,3.13,2.97,4.78,1.84,2.61,4.34,0.32,7.43,3.59,3.20,,
September,1.01,3.46,2.72,2.43,3.99,3.97,2.03,3.08,1.76,6.15,,
October,3.83,1.92,4.17,3.86,4.97,0.37,2.09,4.07,4.21,1.15,,
November,3.55,0.57,1.01,4.86,1.14,6.00,2.01,1.33,3.41,3.30,,
December,1.51,2.79,1.44,2.24,5.23,2.65,1.51,3.54,2.77,1.20,,
Total,34.37,28.56,31.15,26.48,36.79,32.44,33.36,39.76,28.82,30.00,,
Calc annual,34.37,28.56,31.15,26.48,36.79,32.44,33.36,39.76,28.82,28.00,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,2.00,,
