"DUNDEE BALRUDDERY",,,,,,,,,,,,
Grid ref,NO314321,Long,-3.115249,Lat,56.476002,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.71,1.16,4.15,1.68,0.43,2.55,1.16,2.26,2.12,,
February,,1.52,1.31,3.81,4.19,1.04,0.99,1.35,0.84,0.97,,
March,,2.01,1.30,3.20,1.83,3.13,1.22,1.99,4.16,4.51,,
April,,2.39,1.60,1.19,2.45,1.71,0.80,1.94,1.01,3.85,,
May,,2.39,2.41,1.14,2.76,2.45,4.93,4.04,1.77,3.22,,
June,,1.76,1.40,2.39,0.60,1.24,1.16,3.98,1.26,0.72,,
July,,0.92,3.18,5.98,1.20,1.31,1.08,2.57,2.26,2.45,,
August,,4.49,3.93,5.40,5.06,3.38,5.15,4.37,3.02,1.94,,
September,,1.67,1.68,2.16,2.69,1.10,1.14,1.08,4.74,1.45,,
October,,2.75,1.82,5.69,1.38,1.52,3.53,5.04,3.37,4.00,,
November,,1.70,3.09,1.03,0.55,5.51,4.17,1.94,2.27,0.40,,
December,,3.64,4.44,2.80,2.13,1.74,1.96,3.81,1.49,3.22,,
Total,,26.95,27.32,38.94,26.52,24.56,28.68,33.27,28.45,28.85,,
Calc annual,0.00,26.95,27.32,38.94,26.52,24.56,28.68,33.27,28.45,28.85,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
