"WHITBURN, POLKEMMET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS924649,Long,-3.720888,Lat,55.865226,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,8,,6.74,2.42,5.17,2.49,7.48,3.12,3.1,1.37,5.48,2.27,2.01,1.39,2.83,6.9,5.69,2.81,3.45,8.02,4.5,2.48,5.98,4.07,5.51,
February,,,,,4.15,4.01,1.59,3.1,1.44,3.31,1.1,1.06,3.2,5.24,11.74,0.68,2.31,2.93,3.31,1.95,4.73,1.37,1.31,7.52,2.91,3.07,3.25,3.99,3.26,
March,,,,3.24,2.89,2.81,3.31,2.6,4.88,2.52,4.18,5.97,0.97,1.79,3.79,4.23,4.48,4.77,2.38,3.72,0.98,2.71,2.72,8.23,1.9,5.12,3.95,4.94,5.27,
April,,,,5.9,1.3,1.81,2.3,2.38,3.06,2.95,1.96,0.49,1.45,1.6,1.58,1.91,2.02,1.95,2.63,3.97,3.58,2.63,1.09,1.78,5.05,3.21,1.93,1.88,2.31,
May,,,,4.5,4.37,3.49,4.39,1.47,2,3.32,2.74,2.48,4.49,2.24,4.19,0.89,0.73,2.13,2.11,3.55,2.3,2.5,2.25,2,3.36,1.19,5.96,4.66,3.66,
June,,,,5.21,1.12,1.83,2,1.16,2.63,0.82,4.49,1.87,3.68,3.49,3.47,2.96,4.56,4.95,2.14,1.48,5.02,2.65,2.07,2.2,1.79,0.9,2.06,4.6,3.02,
July,,,,7.03,,1.47,3.97,2.66,4.83,3.83,4.7,2.05,2.25,2.88,3.96,5.39,4.42,2.05,1.53,5.66,3.86,1.31,4.11,4.38,2.7,3.44,3.33,3.55,5.01,
August,,,,,2.02,2.81,2.43,4.1,2.82,9.49,4.9,6.97,8.17,4.11,5.61,5.83,2.18,4.11,5.58,1.1,4.59,5,1.91,5.32,3.9,4.16,6.31,6,5.1,
September,,,,6.5,3.21,6.64,4.93,,1.41,1.86,5.38,5.99,4.44,2.13,0.26,2.29,4.74,2.8,5.68,5.73,3.67,1.6,2.56,2.68,2.62,3.19,2.22,1.33,7.88,
October,,,,5.61,3.81,3.55,4.87,2.4,2.62,4.4,4.05,3.26,4.72,5.77,3.96,4.1,4.88,1.61,5.62,4.15,5.38,3.1,1.96,7.81,1.83,2.62,8.26,9.59,1.8,
November,,,,6.89,3.4,2.71,2.8,5,7,1.46,8.15,2.49,3.96,3.42,3.87,4.6,1.45,3.37,5.6,6.33,5.49,3.91,1.44,2.77,2.69,4.66,5.26,2.51,5.16,
December,,,,8.6,5.5,2.44,4.52,3.18,3.23,3.54,2.11,9.56,2.69,4.87,3.62,5.34,5.38,6.52,5.87,3.01,8.02,4.69,4.07,2.82,4.91,4.4,3.37,5.96,3.21,
Total,,,,,,,43.85,,41.09,39.99,51.24,45.31,43.12,38.91,51.53,40.49,39.16,38.58,45.28,47.55,53.31,34.28,28.94,55.53,38.16,38.44,51.88,53.08,51.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1884 July 5"" pencilled in and estimated so removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1885 Jan, 2"", pencilled in and estimated so removed with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Sept 5.25 pencilled in and estimated so removed along with total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
