"WHITTINGTON",,,,,,,,,,,,
Grid ref,NZ003703,Long,-1.996841,Lat,55.027232,,,,,,,
Station no,3582,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,2.33,0.93,2.18,2.06,2.66,1.55,1.33,1.38,4.00,,
February,1.93,0.22,1.33,1.49,2.20,2.14,2.02,2.69,0.63,2.40,,
March,2.66,1.37,0.32,0.77,1.48,0.98,1.60,2.29,0.62,2.10,,
April,1.87,1.50,2.31,0.57,0.97,0.83,1.14,1.44,1.85,1.20,,
May,2.75,1.49,1.63,3.63,1.47,0.56,1.48,3.22,0.26,1.77,,
June,1.06,1.76,1.63,1.93,1.87,4.29,1.32,3.05,1.67,0.52,,
July,1.65,2.05,2.10,2.58,1.40,2.13,3.67,4.45,2.45,3.76,,
August,4.80,2.30,4.10,4.38,0.84,7.22,4.00,3.36,0.29,3.60,,
September,1.30,2.82,2.76,4.13,1.29,2.54,3.40,2.86,0.79,1.68,,
October,0.85,2.47,1.04,5.02,1.29,2.07,2.25,1.64,2.06,5.42,,
November,6.86,2.88,1.54,2.52,0.98,0.81,1.55,0.84,3.57,3.50,,
December,1.78,2.47,1.32,2.48,3.40,1.69,1.76,3.20,3.94,2.58,,
Total,29.36,23.66,21.01,31.68,19.25,27.92,25.74,30.37,19.51,32.53,,
Calc annual,29.36,23.66,21.01,31.68,19.25,27.92,25.74,30.37,19.51,32.53,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
