NOTTINGHAM-STAPLEFORD-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK485371,Long,-1.2799531,Lat,52.929124,Elevation,132,ft,,,,,,,,,,,,
Station no,RR7219,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.81,1.72,0.72,1.27,3.22,,,,,,,,,
February,,,,,,,0.33,0.41,1.06,1.43,0.74,,,,,,,,,
March,,,,,,,2.28,1.22,2.14,3.51,1.27,,,,,,,,,
April,,,,,,,1.88,0.89,2.14,2.89,0.5,,,,,,,,,
May,,,,,,,5.89,1.24,0.49,3.83,2.09,,,,,,,,,
June,,,,,,,1.37,0.79,1.82,0.6,1.55,,,,,,,,,
July,,,,,,0.35,4.03,1.1,4.63,2.43,2.21,,,,,,,,,
August,,,,,,1.88,3.17,1.34,2.47,2.97,2.81,,,,,,,,,
September,,,,,,3.44,0.97,2,1.02,2.26,1.32,,,,,,,,,
October,,,,,,5.86,4.11,1.57,0.55,2.69,1.26,,,,,,,,,
November,,,,,,2.66,1.2,1.21,2.72,0.76,2.46,,,,,,,,,
December,,,,,,0.79,2.04,1.55,1.55,2.23,0.56,,,,,,,,,
Total,,,,,,,30.08,15.04,21.31,26.87,19.99,,,,,,,,,
