"GRANGE OF HOWNAM, MAKERSTOUN, ROXBURGH",,,,,,,,,,
Grid ref,NT784227,Long,-2.343269,Lat,55.498244,Elevation,367,ft,,
Station no,RR4476,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,2.31,,,,,,,,
February,,1.33,,,,,,,,
March,,,,1.1,,,,,,
April,,,,2.5,,,,,,
May,3.64,,,2.21,,,,,,
June,3.16,,,1.7,,,,,,
July,2.71,,,1.95,,,,,,
August,1.31,,,1.37,,,,,,
September,2.34,,,0.9,,,,,,
October,2.13,,1.23,2.5,,,,,,
November,3.76,,2.2,2.17,,,,,,
December,1.3,,,1.9,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
1843 Oct Nov now transcribed,,,,,,,,,,
