SLOGARIE - HIGH GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX651684,Long,-4.1092,Lat,54.9924,Elevation,800,ft,,,,,,,,,,,,
Station no,RR1228,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,8.51,7,,6.82,7.05,10.35,5.69,,14.22,9.35,,,,,,
February,,,,,3.48,4.5,,4.75,8.4,6.88,4.7,,10.47,1.45,,,,,,
March,,,,,6.51,2.79,,3.37,7.32,1.05,3.21,,8.37,3.75,,,,,,
April,,,,,2.78,0.8,2.65,6.89,4.07,3.81,3.02,,1.97,0.37,,,,,,
May,,,,,2.29,7.14,1.95,2.85,3.47,1.25,6.94,,3.4,2.75,,,,,,
June,,,,,4.79,0.8,4.94,2.17,0.7,1.15,2.14,,7,2.27,,,,,,
July,,,,,2.94,4.75,5.54,4.27,1.17,3.3,7.47,,3.5,8.67,,,,,,
August,,,,,3.17,5.84,13.12,5.37,7.52,1.15,1.92,,4.07,6.36,,,,,,
September,,,,,8.5,2.2,16.22,4.06,3.6,9.37,1.9,,7.24,4.7,,,,,,
October,,,,,5.17,6.45,,7.11,7.85,2.14,12.39,,4.85,6.55,,,,,,
November,,,,,7.87,7.32,,1.35,6.62,7.26,3.27,,7.65,3.09,,,,,,
December,,,,,9.94,8.19,,5.02,14.41,8.24,2.2,,10.7,3.35,,,,,,
Total,,,,,65.95,57.78,,54.03,72.18,55.95,54.85,,83.44,52.66,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt1-page-009.csv,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_11_pt1-page-010.csv. CORRECTION: 1870 total should be 54.85,,,,,,,,,,,,,,,,,,,,
"1870 figures have been transcribed correctly, original total very wrong. October rain very high but equally so on the 300' elevation gauge for this site.",,,,,,,,,,,,,,,,,,,,
