NEWTON STEWART (DOUGLAS EWART HIGH SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,NX409657,Long,-4.4864411,Lat,54.960468,Elevation,75,ft,,,,,,,,,,,,
Station no,5011/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.86,3.87,1.58,8.43,7.04,,,,,,,
February,,,,,,,,,5.84,2.04,4.34,2.05,3.93,,,,,,,
March,,,,,,,,,4.11,5.46,3.51,4.2,1.19,,,,,,,
April,,,,,,,,,2.21,1.52,1.69,2.78,3.13,,,,,,,
May,,,,,,,,,1.04,1.56,3.75,3.28,3.74,,,,,,,
June,,,,,,,,,2.49,1.15,1.06,1.31,,,,,,,,
July,,,,,,,,,7.02,4.4,3.54,5.14,,,,,,,,
August,,,,,,,,,1.64,1.27,6.6,5.05,,,,,,,,
September,,,,,,,,,3.55,4.02,3.55,5.03,,,,,,,,
October,,,,,,,,,3.78,6.54,5.81,5.49,,,,,,,,
November,,,,,,,,,8.81,8.93,3.74,1.03,5.14,,,,,,,
December,,,,,,,,,3.46,6.09,2.32,7.82,,,,,,,,
Total,,,,,,,,,49.81,46.85,41.49,51.61,,,,,,,,
