"BARRA, EOLIGARRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NF 704 076,Long,-7.436264,Lat,57.041071,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5764/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.86,7.74,,,,,,,,,,,,3.75,2.94,,5.14,4.97,,,,,,,
February,,,,,,,3.65,2.56,,,,,,,,,,,,5.02,3.18,,4.17,5.2,,,,,,,
March,,,,,,,3.49,2.82,,,,,,,,,,,,3.26,2.91,,3.02,2.63,,,,,,,
April,,,,,,,1.45,4.27,,,,,,,,,,,,1.71,3.22,0.93,1.74,2.57,,,,,,,
May,,,,,,,2.29,2.19,,,,,,,,,,,,1.31,1.39,0.74,1.29,,,,,,,,
June,,,,,,,1.31,2.52,,,,,,,,,,,4.87,1.99,2.46,0.74,1.83,,,,,,,,
July,,,,,,,2.52,3.36,,,,,,,,,,,2.73,5.26,2.91,3.39,3.09,,,,,,,,
August,,,,,,,3.63,2.51,,,,,,,,,,,3.92,2.23,2.92,5.71,5.17,,,,,,,,
September,,,,,,,4.66,4.46,,,,,,,,,,,4.37,6.5,3.46,1.27,5.83,,,,,,,,
October,,,,,,,5.22,,,,,,,,,,,,10,2.27,5.97,4.05,5.63,,,,,,,,
November,,,,,,,5.19,,,,,,,,,,,,7.33,6.22,7.66,5,4.07,,,,,,,,
December,,,,,,,2.6,,,,,,,,,,,,5.56,4.3,6.6,3,7.75,,,,,,,,
Total,,,,,,,41.87,,,,,,,,,,,,,43.82,45.62,,48.73,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 OND + Total deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 May deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Dec deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 JFM + Total deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
