"BALMERINO MANSE",,,,,,,,,,,,
Grid ref,NO367245,Long,-3.027382,Lat,56.408477,,,,,,,
Station no,5498/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,1.49,0.50,1.60,1.65,2.66,3.04,1.80,1.03,3.74,,
February,2.72,0.58,0.65,2.31,1.42,1.14,3.67,2.70,0.21,2.73,,
March,2.27,1.81,0.32,1.87,1.72,1.28,1.92,4.29,1.31,2.35,,
April,1.59,0.69,2.02,1.52,0.75,0.92,0.52,1.47,2.17,2.15,,
May,1.79,2.36,1.75,4.41,1.89,1.03,1.80,2.85,0.60,2.14,,
June,1.54,2.40,1.39,2.07,1.10,2.55,0.68,2.90,2.14,1.75,,
July,3.93,1.87,3.75,2.11,1.08,3.94,4.85,4.99,3.16,3.21,,
August,3.28,3.15,1.78,2.93,0.37,4.60,3.33,3.29,0.66,4.58,,
September,1.86,0.85,2.15,2.33,1.19,4.41,1.69,1.65,0.68,1.48,,
October,0.33,2.55,1.47,5.36,1.80,1.29,1.74,1.58,1.74,6.70,,
November,6.44,2.02,2.45,4.51,1.56,0.79,1.64,0.75,5.17,3.10,,
December,2.32,1.89,2.72,3.29,4.84,3.30,4.12,4.48,4.91,2.21,,
Total,31.20,21.66,20.95,34.31,19.37,27.91,29.00,32.75,23.78,36.14,,
Calc annual,31.20,21.66,20.95,34.31,19.37,27.91,29.00,32.75,23.78,36.14,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
