ENDRICK WEIR,,,,,,,,,,
Grid ref,NS 67898 86690,Long,-4.122814,Lat,56.054774,Elevation,780,ft,,
Station no,5375/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.55,2.48,5.62,3.87,4.39,9.26,6.72,2.14,5.25
February,,1.03,2.53,6.07,4.12,2,4.81,2.44,2.75,5.86
March,,5.57,2.02,5.16,2.27,3.48,6.48,2.84,4.04,2.82
April,,3.25,2.91,2.57,2.87,0.95,3.32,1.88,4.56,5.81
May,,2.27,4.89,6.65,3.16,3.41,3.45,4.96,1.73,4.35
June,,4.28,1.85,3.78,2.47,4.29,2.06,4.42,2.91,2.81
July,,2.73,6.1,1.39,1.81,5.89,5.24,6.12,7.28,4.92
August,,6.52,3.85,5.26,0.45,7.13,5.61,6.63,1.27,4.88
September,,3.87,6.48,8.44,4.75,7.1,3.95,5.59,1.4,3.49
October,,6.34,3.54,11.44,4.63,5.88,6.34,6.15,5.83,6.35
November,,2.37,8.68,10.94,2.97,1.48,2.73,2.09,8.51,8.28
December,,5.55,7.11,9.18,10.91,8.02,8.02,8.37,9.93,6.67
Total,,48.33,52.44,76.5,44.28,54.02,61.27,58.21,52.35,61.49
,,,,,,,,,,
1956 Apr Est,,,,,,,,,,
,,,,,,,,,,
Station no,5375/3,,,,,,,,,
Midas,13752,,,,,,,,,
Hyd stn,663366,,,,,,,,,
