WATEREND IN LOWESWATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY116226,Long,-3.3686,Lat,54.591,Elevation,432,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,6.35,6.47,4.95,10.87,10.92,6.9,7,3.75,11.08,4.52,1.74,2.82,0.7,4.41,9.36,6.47,3.24,4.69,4.3,2.93,3.86,8.76,3.52,,,,,,,,
February,,,,,,,,,,7.52,3.78,4.61,4.96,0.8,5.67,1.91,4.96,5.13,3.13,2.95,5.45,4.45,4.47,6.96,7.63,10.12,1.75,3.86,1.61,3.86,1.16,0.34,,,,,,,,
March,,,,,,,,,,1.01,1.77,3.59,6.14,4.3,4.6,1.66,4.7,2.87,2.94,4.13,2.17,4.64,4.04,2.97,6.03,3.95,4.83,0.95,4.56,3.72,4.24,2.03,,,,,,,,
April,,,,,,,,,,3.32,2.88,2.58,1.87,0.47,2.2,2.35,2.87,2.52,0.93,1.61,4.24,0.98,3.77,2.33,2.16,5.81,3.31,5.01,2.68,2.98,1.45,1.24,,,,,,,,
May,,,,,,,,,,2.69,5.53,1.38,3.84,2.5,1.36,3.16,0.76,4.65,2.8,2.31,1.92,3.4,4.03,3.02,4.61,2.96,6.07,2.29,2.93,3.42,3.44,2.67,,,,,,,,
June,,,,,,,,,,1.94,1.7,2.33,5.1,3.02,0.98,4.39,3.88,5.47,2.5,3.35,3.71,4.22,4.41,1.28,1.4,1.91,1.79,0.75,1.91,0.99,5.67,1.22,,,,,,,,
July,,,,,,,,,,2.62,1.82,3.68,5.35,7.63,2.97,3.18,2.95,6,0.82,7.19,4,7.49,7.08,2.66,5.38,4.59,5.1,4.63,6.55,2.05,4.9,2.4,,,,,,,,
August,,,,,,,,,,2.54,1.98,3.78,3.25,6.35,9.42,4.31,4.54,7,4.21,6.81,1.94,6.68,4.2,3.91,2.43,2.8,2.71,2.29,3.67,6.36,5.07,10.49,,,,,,,,
September,,,,,,,,,2.44,8.12,5.32,2.75,7.32,2.95,7.78,6.42,5.86,3.92,6.66,6.97,6.49,1.8,3.97,4.98,5.38,7.5,9.47,6.19,2.89,3.72,5.82,10.29,,,,,,,,
October,,,,,,,,,7.34,5.25,9.12,4.74,7.47,8.07,13.09,5.11,3.94,7.86,6.66,3.52,1.77,2.51,3.7,5.96,4.32,5.62,5.04,4.04,6.92,6.18,6.4,14.01,,,,,,,,
November,,,,,,,,,2.51,7.68,3.76,3.06,6.79,4.32,4.9,3.56,3.37,12.06,3.53,1.78,5.11,6.86,7.83,8.21,2.26,4.28,6.72,4.15,7.05,3.09,10.68,5.32,,,,,,,,
December,,,,,,,,,9.8,6.4,2.2,7.34,7.24,4.01,3.11,3.13,5.4,6.32,1.74,3.4,5.19,5.19,4.3,5.58,6.7,2.05,7.55,4.73,5.66,5.6,2.04,10.69,,,,,,,,
Total,,,,,,,,,,55.44,46.33,44.79,70.2,55.34,62.98,46.18,46.98,74.88,40.44,45.76,44.81,48.92,56.21,57.22,54.77,54.83,59.03,43.19,49.36,45.83,59.63,64.22,,,,,,,,
