SOMERTON-COURT,,,,,,,,,,
Grid ref,ST497283,Long,-2.718993,Lat,51.051831,Elevation,60,ft,,
Station no,2076/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.61,2.88,3.14,2.22,2.09,3.41,2.96
February,,,,2.48,2.47,0.09,3.47,3.03,0.26,2.37
March,,,,3.9,0.98,0.49,1.71,0.5,3.44,1.65
April,,,,0.35,1.07,1.26,0.1,0.68,1.78,2.08
May,,,,1.69,3.96,0.26,1.62,1.78,0.94,1.36
June,,,,2.51,2.67,1.99,2.65,3.36,0.82,1.5
July,,,,2.64,0.68,1.92,2.81,2.37,1.19,4.01
August,,,,3.9,1.11,3.54,2.34,3.47,0.65,4.76
September,,,,2.3,1,3.52,3.03,5.12,0.06,3.19
October,,,,2.42,1.62,1.61,1.88,2.19,2.83,8.4
November,,,,5.21,3.03,0.75,1.87,3.17,3.92,3.1
December,,,0.62,2.81,4.32,3.42,2.4,3.51,5.78,2.62
Total,,,,31.82,25.79,21.99,26.1,31.27,25.08,38
,,,,,,,,,,
SRC_ID 9269,,,,,,,,,,
1953-1965,,,,,,,,,,
