KINSFORD-GATE-SPAN-HEAD,,,,,,,,,,
Grid ref,SS735367,Long,-3.808658,Lat,51.115586,Elevation,1590,ft,,
Station no,1869/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,11,3.14,7.14,8.45,8.94,7.74,7.35,8.94,8.52
February,,2.57,4.83,7.54,6.66,1.2,7.6,8.76,0.73,6.03
March,,7.57,2.74,6.22,2.02,4.18,8.45,1.75,6.81,2.83
April,7.92,5.27,4.77,2.75,5.25,2.7,0.9,2.53,5.74,4.41
May,3.97,4.33,4.75,4.83,7.2,2.03,3.37,6.67,2.24,2.07
June,1.69,3.47,4.13,6.44,5.55,4.57,2.23,5.29,3.3,3.68
July,2.97,2.71,10.48,11.46,2.56,8.47,9.4,4.77,5.82,11.92
August,10.09,11.78,8.24,8.23,0.75,7.73,10.24,9.9,4.79,8.61
September,5.96,7.8,9.36,10.02,4.23,10.14,11.54,10.5,1.22,6.83
October,3.07,9.15,3.93,11.21,4.34,4.56,9.92,8.26,10.87,12.13
November,12.2,10,6.93,13.43,5.22,3.51,3.41,6.75,11.21,12.02
December,7.75,8.95,2.92,9.19,11.68,7.66,6.25,8.65,13.78,11.98
Total,,84.6,66.22,98.46,63.91,65.69,81.05,81.18,75.45,91.03
,,,,,,,,,,
1951 Jan-Mar Estimated Gauge starts in Apr,,,,,,,,,,
1952 Jan Marked as estimated Possibly for snow,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Span Head SRC_ID 8197,,,,,,,,,,
1951-1961,,,,,,,,,,
