"CAISTOR CABOURNE",,,,,,,,,,,,
Grid ref,TA139019,Long,-0.284279,Lat,53.501470,,,,,,,
Station no,RR1755,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.25,1.02,1.02,1.96,2.03,0.63,3.11,1.10,1.43,0.92,,
February,3.49,2.73,1.28,0.82,2.94,0.96,2.84,2.08,2.04,1.49,,
March,0.49,2.21,1.47,3.29,2.10,2.27,2.26,1.24,2.48,3.84,,
April,1.01,1.43,1.84,2.10,1.00,1.72,0.91,2.46,3.08,2.10,,
May,1.63,0.75,3.17,2.90,2.02,0.73,1.64,3.89,2.16,0.77,,
June,2.02,2.44,2.92,2.09,0.67,2.76,1.90,2.89,1.50,2.45,,
July,1.83,2.66,2.24,3.34,3.61,1.46,1.21,1.05,4.20,3.88,,
August,4.38,2.70,2.68,5.71,5.23,2.90,2.35,2.35,2.16,4.86,,
September,1.32,1.64,0.64,4.07,2.47,1.65,1.23,0.89,2.04,1.57,,
October,2.40,2.63,2.82,5.31,1.11,2.39,4.92,4.79,1.10,4.05,,
November,2.27,2.56,1.62,2.14,1.21,3.66,4.31,2.67,1.64,0.74,,
December,3.03,5.21,1.91,0.66,1.80,0.48,2.25,2.35,1.80,4.31,,
Total,27.12,27.98,23.61,34.39,26.19,21.61,28.93,27.76,25.63,30.98,,
Calc annual,27.12,27.98,23.61,34.39,26.19,21.61,28.93,27.76,25.63,30.98,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
