CAISTOR (Caistor Vicarage),,,,,,,,,,,,,,,,,,
Grid ref,TA118010,Long,-0.316,Lat,53.494,Elevation,283,ft,,,,,,,,,,
Station no,RR1755,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,1.87,3.27,2.22,1.30,0.19,1.10,1.63,2.56,2.49,1.88,3.19,1.49,0.72,1.40,2.12,1.46,0.97,0.65
February,2.00,2.23,1.28,2.80,1.63,3.43,1.44,2.84,1.26,3.05,0.56,0.40,1.49,2.16,1.27,0.09,1.71,2.47
March,2.88,2.28,1.17,0.93,1.92,1.81,1.38,2.19,1.53,1.36,3.13,1.51,1.93,3.92,1.54,1.50,1.95,0.15
April,2.92,3.00,1.05,2.27,2.00,1.50,3.47,1.49,1.11,1.74,1.92,1.10,1.39,2.64,0.57,1.89,1.31,0.19
May,1.50,1.50,3.04,3.48,1.15,1.10,2.75,1.89,0.51,1.80,4.73,1.73,0.71,3.62,2.25,3.70,3.43,0.94
June,2.47,1.40,2.14,4.39,3.02,2.11,2.83,3.33,1.03,2.55,0.69,0.03,1.84,1.12,2.28,2.25,3.36,1.55
July,1.41,2.81,1.23,3.41,4.55,2.20,2.75,4.10,1.98,0.27,2.34,1.31,4.78,1.35,2.67,2.05,1.56,1.71
August,2.61,4.46,6.79,2.94,1.70,5.42,3.81,1.71,1.58,2.37,1.99,1.20,2.16,4.49,2.86,4.06,1.85,1.57
September,3.47,4.54,2.13,3.05,4.30,3.29,1.85,4.99,0.83,3.42,0.91,2.27,2.06,2.38,0.78,0.92,1.67,1.35
October,1.82,1.66,2.39,0.87,4.93,2.68,5.04,4.15,1.30,4.97,3.29,2.00,0.65,5.40,0.78,3.91,4.80,0.97
November,3.73,2.26,5.17,2.09,2.52,2.15,4.00,3.70,1.41,2.11,2.00,1.76,2.87,0.42,2.73,2.61,0.91,2.46
December,5.80,2.49,2.06,1.01,2.79,2.14,5.59,1.68,2.45,0.77,4.74,0.95,1.47,1.32,0.64,2.14,0.26,0.74
Total,32.48,31.90,30.67,28.54,30.70,28.93,36.54,34.63,17.48,26.29,29.49,15.75,22.07,30.22,20.49,26.58,23.78,14.75
,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/062,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/072,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/200,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"# No detailed location information, the grid reference is for Caistor Vicarage, a likely location for observer Rev. Thomas.",,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# The gauge and observer moved to nearby Cabourne at the end of 1893.,,,,,,,,,,,,,,,,,,
