CAISTOR (Caborne Vicarage),,,,,,,,,,,,,,,,,,,
Grid ref,TA139019,Long,-0.284,Lat,53.501,Elevation,280,ft,,,,,,,,,,,
Station no,RR1755,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912
January,2.02,5.75,0.99,2.01,0.65,,3.25,1.02,1.02,1.96,2.03,0.63,3.11,1.10,1.43,0.92,1.98,1.75,3.05
February,2.72,1.56,0.60,3.31,1.49,,3.49,2.73,1.28,0.82,2.94,0.96,2.84,2.08,2.04,1.49,2.59,1.54,1.25
March,0.73,2.17,1.85,2.69,1.61,,0.49,2.21,1.47,3.29,2.10,2.27,2.26,1.24,2.48,3.84,0.74,2.37,2.85
April,2.75,1.36,1.03,1.75,3.03,,1.01,1.43,1.84,2.10,1.00,1.72,0.91,2.46,3.08,2.10,2.36,1.47,0.13
May,1.64,1.10,0.74,1.91,2.28,,1.63,0.75,3.17,2.90,2.02,0.73,1.64,3.89,2.16,0.77,2.30,0.77,2.73
June,3.04,2.51,2.44,2.05,1.82,,2.02,2.44,2.92,2.09,0.67,2.76,1.90,2.89,1.50,2.45,3.01,3.68,5.03
July,2.15,4.28,2.11,0.14,0.63,,1.83,2.66,2.24,3.34,3.61,1.46,1.21,1.05,4.20,3.88,3.41,0.39,2.94
August,2.22,3.32,2.17,4.06,3.13,,4.38,2.70,2.68,5.71,5.23,2.90,2.35,2.35,2.16,4.86,4.16,2.00,4.99
September,0.86,0.51,4.97,4.37,0.33,,1.32,1.64,0.64,4.07,2.47,1.65,1.23,0.89,2.04,1.57,0.40,2.17,1.99
October,4.20,2.42,8.14,0.87,3.37,,2.40,2.63,2.82,5.31,1.11,2.39,4.92,4.79,1.10,4.05,1.93,2.15,2.75
November,1.96,2.38,1.38,2.32,2.33,,2.27,2.56,1.62,2.14,1.21,3.66,4.31,2.67,1.64,0.74,3.72,3.74,3.65
December,2.08,2.18,3.69,2.29,1.92,,3.03,5.21,1.91,0.66,1.80,0.48,2.25,2.35,1.80,4.31,3.67,3.82,2.54
Total,26.37,29.54,30.11,27.77,22.59,,27.12,27.98,23.61,34.39,26.19,21.61,28.93,27.76,25.63,30.98,30.27,25.85,33.90
,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/200,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/151,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/101,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# The gauge and observer moved to Cabourne from Caistor at the end of 1893.,,,,,,,,,,,,,,,,,,,
