CANONBIE (SCHOOL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY396766,Long,-2.9467,Lat,55.08,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1,,4.15,1.8,3.7,6.3,6.4,5.3,6.9,3.9,,6.8,5.7,3.9,6.1,6.9,,,,,,,,,
February,,,,,,0.9,,2,0.2,2.5,6.5,3.2,3,3.4,3.4,,3,2.9,5.5,8.2,4.1,,,,,,,,,
March,,,,,,2.2,,2.2,2.1,3.5,5.7,5.3,1.8,0.8,2.9,,3.7,4.1,4.3,3.9,2.7,2.8,,,,,,,,
April,,,,,,1.3,,1,1.7,2.7,2.2,1.5,5.7,5.5,0.9,,1.2,4.7,3.4,3,3.1,,,,,,,,,
May,,,,,,1.3,,1.5,2.4,0.4,3.9,1.1,3.9,3.1,,6.8,0.8,2.9,5.6,2.1,4.7,,,,,,,,,
June,,,,,,4.5,,3.8,1.6,1.8,5,2.1,6.9,3,,0.2,1.8,1,1.6,1.1,5.2,,,,,,,,,
July,,,,,,2.8,,2.5,3.7,3,3.8,6.8,7.2,1.1,,4.2,2.1,3.3,1.9,2.18,2.1,5.1,,,,,,,,
August,,,,,,5.1,,2.7,4.1,3.2,6.5,6.4,3,3.9,,4.6,5.1,4.5,5.9,4.8,1.1,2.9,,,,,,,,
September,,,,,,1.8,,4.9,3.7,5.5,1.9,5.3,2.2,6.3,,1.7,5.1,2.1,3.8,4.1,2.1,4.6,,,,,,,,
October,,,,,,4.6,,1.8,5,4.1,7.7,3,5.9,4.7,,3.9,2.9,5,6.1,2.9,7.2,4.7,,,,,,,,
November,,,,,,2.4,,1.8,2.4,3.8,2.5,7.5,2.1,3.8,,3.2,4.1,1.3,4.2,6.1,3.75,4.2,,,,,,,,
December,,,,,,1.6,,2.6,1.9,6.2,2.1,5.3,5.3,4.2,,2.4,4.2,3.2,8.2,6.9,4.1,6.9,,,,,,,,
Total,,,,,,29.5,35.5,30.95,30.6,40.4,54.1,53.9,52.3,46.7,,,40.8,40.7,54.4,51.38,47.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856 has a total but the year column is not actually labelled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864 and 1865 incomplete years so totals removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869 complete year but total not given. Calculated and added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
