"LONG EATON (TOWN HALL)",,,,,,,,,,,,
Grid ref,SK490339,Long,-1.272997,Lat,52.900315,,,,,,,
Station no,2710,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,1.83,0.94,1.11,2.01,3.04,1.69,2.57,2.87,4.72,,
February,2.47,0.63,1.43,2.06,1.76,0.44,2.16,3.46,0.17,1.85,,
March,3.34,2.61,1.22,1.81,2.35,0.97,1.98,1.51,1.25,1.31,,
April,1.61,1.57,2.06,0.35,0.92,1.56,0.24,0.59,2.21,1.07,,
May,2.57,4.10,2.03,1.96,2.99,0.48,0.87,2.00,0.34,1.27,,
June,1.49,2.01,2.59,2.79,4.16,3.61,1.72,4.30,0.76,2.15,,
July,0.65,0.32,1.63,1.80,0.76,2.90,2.13,3.95,0.90,3.55,,
August,5.73,2.01,1.85,4.11,0.50,4.73,2.51,2.43,0.64,3.45,,
September,1.16,1.25,1.78,2.19,0.61,2.81,5.89,2.39,0.03,4.20,,
October,0.70,2.33,1.88,2.74,1.93,0.59,1.13,2.23,1.71,4.75,,
November,4.84,1.54,1.53,4.50,1.61,0.87,2.05,1.35,2.24,2.53,,
December,1.73,2.37,0.92,2.39,2.00,2.53,1.87,2.79,3.00,3.04,,
Total,28.52,22.57,19.86,27.81,21.60,24.53,24.24,29.57,16.12,33.89,,
Calc annual,28.52,22.57,19.86,27.81,21.60,24.53,24.24,29.57,16.12,33.89,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
