ECCLEFECHAN SPRINGKELL,,,,,,,,
Grid ref,NY255751,Long,-3.168044,Lat,55.064761,Elevation,303,ft
Station no,5037,,,,,,,
,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887
January,,,1.64,6.51,,,,
February,,,3.77,2.56,,,,
March,,,2.97,1.81,,,,
April,,,4.11,2.22,,,,
May,,,2.2,1.75,,,,
June,,,4.34,3.26,,,,
July,,,10.8,4.78,,,,
August,,,4.44,6.16,,,,
September,,,2.33,4.64,,,,
October,,,3.55,4.67,,,,
November,,,3.95,5.3,,,,
December,,,4.01,3.41,,,,
Total,,,48.11,47.07,,,,
,,,,,,,,
Gap in records 1884-1928,,,,,,,,
