ECCLEFECHAN SPRINGKELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY255751,Long,-3.168044,Lat,55.064761,Elevation,303,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,9.63,1.92,6.53,3.41,4.34,3.69,5,2.62,5.28,4.49,4.58,6.14,3.32,0.72,5.09,6.27,4.93,3.84,5.1,5.07,7.8,2.67,2.35,5.75,3.45,1.89,3.54,4.5,3.9,6.37,4.63,3.07,6.01
February,3.94,1.56,0.27,3.16,0.03,3.77,0.12,4.32,,5.36,1.84,3.29,1.45,3.52,1.56,2.39,1.42,5.16,2.38,0.62,3,2.93,3.91,2.95,0.8,1.23,3.01,1.47,1.17,4.09,3.82,1.48,5
March,5.26,1.55,3.21,1.07,3.51,1.68,2.09,1.41,,1.9,2.14,3.04,5.63,3.91,3.13,1.6,0.22,1.88,2.74,4.74,2.51,1.9,4.44,3.94,2.97,0.87,3.49,2.61,1.78,4.34,1.53,3.02,1.64
April,1.2,1.33,3.13,2.49,2.92,2.43,4.03,4.92,0.9,3.17,0.56,1.77,1.85,1.46,2.33,2.69,2.54,3.09,1.27,4.95,3.29,3.16,3.34,2.2,3.17,3.62,1.03,2.47,1.34,1.74,1.6,3.9,3.86
May,1.33,2.22,2.11,3.45,2.67,2.74,3.04,0.85,0.45,1.96,4.34,0.96,1.02,3.12,3.91,4.56,2.7,4.76,2.01,4.42,1.79,2.3,2.23,1.92,2.75,2.41,3.18,2.79,3.1,3.03,4.21,2.14,2.77
June,7.25,2.86,3.47,7.71,1.05,3.27,2.98,4.41,4.44,3.48,5.02,2.98,1.17,0.61,0.69,4.17,4.87,4.11,5,3.7,6.92,1.04,4.06,2.07,4.5,1.62,5.25,3.67,2.41,1.5,2.91,3.58,2.93
July,5.06,5.39,6.29,5.22,6.37,5.2,2.01,1.82,5.24,3.35,6.94,7.38,5.27,3.15,3.7,3.66,3.65,4.14,3.84,5.73,2.73,3.42,4.6,4.51,2.33,9.66,6.96,2.68,6.45,4.39,4.51,4.17,6.34
August,10.35,8.22,8.78,2.04,1.68,2.88,5.62,4.36,3.48,2.75,1.96,1.76,2.29,6.97,4.28,6.64,5.03,2.25,6.91,0.11,8.03,3.46,7.42,4.2,4.33,5,5.24,2.14,9.9,4.41,6.5,0.47,3.69
September,3.23,0.89,2.71,1.45,5.4,0.85,5.29,5.66,5.96,,2.63,2.25,3.76,1.87,5.18,5.35,6.28,4.81,6.46,3.56,6.15,1.25,9.44,6.07,2.25,3.97,7.66,2.8,3.27,5.05,8.63,2.05,4.07
October,7.44,6.7,8.05,3.69,6.76,2.83,5.72,7.27,4.37,,7.5,3.26,3.42,5.52,4.58,6.87,3.86,4.73,0.63,0.94,4.38,6.94,3.66,0.8,4.68,2.66,9.24,2.63,3.52,4.87,4.67,4.6,4.24
November,5.93,7.14,3.89,8.84,3.16,1.5,0.45,4.48,4.13,0.66,6.37,4.69,3.77,3.16,1,2.44,6.35,0.3,6.2,5.35,4.87,4.93,3.83,9.71,2.55,7.33,7.55,1.57,1.88,0.91,1.49,6.35,6.45
December,3.65,7.26,3.63,3.92,5.18,1.11,6.66,3.27,3.88,1.92,3.22,1.46,4.14,1.78,4.75,2.2,4.97,2.46,4.64,1.93,4.6,7.82,1.74,6.42,4.09,2.79,4.7,5.88,4.71,2.79,3.43,6.85,4.36
Total,64.27,47.04,52.07,46.45,43.07,31.95,43.01,45.39,,,47.1,38.98,37.09,35.79,40.2,48.84,46.82,41.53,47.18,41.12,56.07,41.82,51.02,50.54,37.87,43.05,60.85,35.21,43.43,43.49,47.93,41.68,51.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gap in records 1884-1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Feb March estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Sept and Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
