EDINBURGH NELSON'S MONUMENT,,,,,,,,,,
Grid ref,NT262741,Long,-3.1834794,Lat,55.954234,Elevation,400,ft,,
Station no,RR6560,,,,,,,,,
,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,0.5,2.5,,,,,,,,
February,1.22,0.54,,,,,,,,
March,1.1,2.46,,,,,,,,
April,0.52,2.6,,,,,,,,
May,4.19,1.84,,,,,,,,9.27
June,3.4,0.61,,,,,,,,2.78
July,1.3,1.51,,,,,,,,4.78
August,2.7,1.47,,,,,,,,9.03
September,1.21,1.58,,,,,,,,2.41
October,2.66,1.43,,,,,,,,1.79
November,1.14,4.22,,,,,,,,
December,2.41,,,,,,,,,
Total,22.35,,,,,,,,,
