PURLEY-WOODCOTE-VALLEY-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ304612,Long,-0.12875,Lat,51.33538,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,94/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.22,5.81,5.63,2.82,5.54,,,3.03,6.22,1.97,2.35,2.51,2.31,3.91,1.28,1.02,3.39,2.39,1.19,1.35,3.12,4.49,1.67,2.36,2.84,2.68
February,,,,,3.51,2.31,5.07,0.81,1.7,,,0.65,1.96,0.76,1.87,2.67,1.58,1.81,1.38,5.15,7.38,0.98,1.47,2.51,1.83,0.42,3.58,2.28,0.07,2.22
March,,,,,0.3,1.41,3.92,0.41,1.38,,,1.98,0.29,0.06,1.19,1.43,5.72,0.96,0.95,1.36,3.48,2.95,0.44,2.27,1.29,0.88,0.97,1.46,2.47,2.07
April,,,,,3.23,1.94,2.67,0.23,2.88,,,1.81,1.05,1.4,1.26,2.64,2.04,1.69,1.69,3.46,2.94,1.33,2.63,0.34,0.27,1.48,0.21,1.43,2.48,0.75
May,,,,,1.41,0.39,2.51,2.11,2.01,,1.94,3.43,2.67,0.49,2.79,3.22,1.47,1.58,1.85,1.31,2.59,1.28,1.9,3.16,4.12,0.3,1.57,2.43,0.96,1.74
June,,,,,2.96,2.52,1.49,0.55,1.04,,2.06,0.7,0.31,1.81,1.97,3.14,2.44,2.86,0.93,1.64,1.03,1.54,1.76,3.74,2.12,2.86,1.04,4.28,1.16,1.22
July,,,,,1.31,3.83,0.73,1.81,2.71,2.49,2.67,2.26,1.51,2.11,3.64,2.38,1.31,1.21,0.72,2.76,2.26,0.81,3.63,2.57,1.27,5.18,2.9,2.19,1.24,3.22
August,,,,2.1,3.07,1.51,2.14,3.28,3.09,0.07,3.91,2.13,1.23,2.59,1.7,4.65,0.22,4.28,1.64,1.75,3.46,3.26,1.58,3.14,1.52,2.87,2.69,2.93,1.39,3.47
September,,,,1.5,3.74,3,2.5,2.52,1.75,1.54,0.46,2,1.61,2.72,1.99,3.13,1.34,1.82,0.44,2.84,3.13,3.01,3.41,2.14,2.01,2.58,2.72,4.97,0.21,3.21
October,,,,2,3.82,2.25,3.42,3.02,,,0.95,3.76,3.04,4.17,3.06,1.37,0.33,2.04,6.56,0.43,1.11,3.15,3.95,2.08,3.61,1.35,1.71,3.62,2.62,6.33
November,,,,2.76,5.17,4.53,1.97,3.95,,,2.9,2.05,1.46,4.47,0.29,4.52,1.06,1.82,3.04,6.14,6.49,3.5,1.41,5.4,1.19,0.74,3.14,1.74,3.72,5.32
December,,,,7.45,4.43,3.58,4.46,3.71,,,2.06,3.38,2.16,2.78,3.68,3.06,2.91,4.11,1.44,1.86,2.79,2.5,0.68,2.14,2.44,3.58,2.5,3.35,5.52,3.04
Total,,,,,34.17,33.08,36.51,25.22,,,,27.18,23.51,25.33,25.79,34.72,22.73,28.09,21.92,29.72,40.05,26.7,24.05,30.84,24.79,26.73,24.7,33.04,24.68,35.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Terminated for duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 May 2 Recommenced ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Sept New rim and measure supplied from MO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Jan 12 Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
