EAST-DERHAM-MIX Orchard,,,,,,,,,,
Grid ref,TF986135,Long,0.9375,Lat,52.6829,Elevation,161,ft,,
Station no,RR1721,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.82,1.98,,,,,,
February,,,1.71,2.98,,,,,,
March,,,1.46,1.57,,,,,,
April,,,3.26,1.51,,,,,,
May,,,1.83,0.99,,,,,,
June,,,3.75,2.95,,,,,,
July,,,1.89,3.14,,,,,,
August,,,1.4,1.46,,,,,,
September,,,2.83,4.37,,,,,,
October,,,5.07,2.94,,,,,,
November,,,3.54,3.68,,,,,,
December,,,3.74,1.98,,,,,,
Total,,,32.3,29.55,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"1883 has six sets of duplicate values, five of which correspond with the same observer's other gauge.",,,,,,,,,,
