EAST-DERHAM-MIX Vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF986131,Long,0.9372,Lat,52.6797,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.12,1.11,0.97,3.02,2.05,1.17,2.07,1.05,2.56,1.58,1.1,0.1,0.97,1.91,2.21,1.66,2.6,2.4,1.75,1.05,0.65,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.98,0.85,2.09,0.9,1.65,0.89,1.22,2.75,2.53,1.28,2.85,1.73,4.08,1.65,3.4,0.52,2.22,0.39,0.49,1.92,1.48,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.96,1.34,1.12,2.14,1.66,0.84,0.56,2.64,2.1,0.91,0.61,0.82,1.84,1.4,1.36,1.17,0.97,1.36,1.8,2.05,0.88,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.38,0.76,3.07,3.45,1.21,1.04,0.58,2.8,2.17,1.08,2.21,1.92,0.88,3.23,1.55,1.23,1.25,1.36,0.95,1.51,1.46,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.57,0.5,0.7,2.06,1.82,1.26,1.1,0.83,1.67,5.02,1.92,0.41,1.32,1.88,0.9,0.67,2.65,2.51,1.76,0.85,2.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.79,1.65,2.18,2.98,2.12,1.6,1.83,1.84,1.46,1.73,4.58,3.21,1.36,3.67,2.91,1.1,1.02,0.4,0.63,1.19,1.1,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.86,2.52,2.34,3.87,1.52,1.08,6.01,2.2,2.32,1.36,4.42,3.8,1.92,1.64,3.08,1.26,0.85,4.87,1.14,4.88,3.12,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.59,2,0.46,3.33,1.63,1.68,0.52,1.6,3.66,6.24,4.02,1.85,4.16,1.43,1.35,1.65,0.96,1.71,2.32,2.61,3.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.44,1.53,4.25,2.12,2.05,2.51,2.06,3.94,2.54,2.03,2.85,3.36,2.87,2.9,4.26,2.15,3.6,1.32,2.4,1.58,2.51,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.68,4.25,1.38,2.86,2.12,1.58,2.9,1.02,2.1,2.94,1.25,5.05,2.47,4.96,2.96,2.53,5.93,2.51,3.25,1.42,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
