"JARDINGTON (DUMFRIES)",,,,,,,,,,,,
Grid ref,NX956787,Long,-3.637351,Lat,55.091707,,,,,,,
Station no,RR3087,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.72,2.80,2.50,5.40,3.52,2.20,4.25,2.45,4.01,4.81,,
February,5.42,0.62,2.30,5.60,3.15,2.45,2.50,3.10,3.20,1.79,,
March,0.20,2.15,2.15,8.00,3.20,4.50,3.32,3.65,5.10,4.21,,
April,2.30,3.12,2.32,1.00,3.20,2.90,0.81,2.42,1.72,3.75,,
May,3.38,1.85,1.90,2.62,2.10,3.25,5.50,3.57,3.61,2.43,,
June,3.82,3.25,1.70,1.85,2.20,2.00,1.60,5.91,2.95,3.47,,
July,2.55,1.50,2.80,3.60,2.80,1.85,2.42,2.22,3.58,3.33,,
August,5.65,4.10,2.70,3.80,4.40,2.61,6.25,4.59,3.56,1.84,,
September,3.35,2.80,2.10,3.55,1.70,1.30,0.80,0.65,4.04,1.94,,
October,4.72,4.60,2.35,8.65,2.32,3.20,4.80,7.13,1.86,10.29,,
November,4.40,2.82,3.70,3.03,2.80,4.30,2.70,3.24,2.46,1.30,,
December,8.20,4.40,4.40,2.96,3.20,2.25,3.00,5.10,4.02,5.32,,
Total,47.71,34.01,30.92,50.06,34.59,32.81,38.15,44.03,40.11,44.48,,
Calc annual,47.71,34.01,30.92,50.06,34.59,32.81,37.95,44.03,40.11,44.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,,
