TYNAN ABBEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH759422,Long,-6.834124,Lat,54.323018,Elevation,167,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6192/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.32,2.41,3.43,1.48,3.88,5.24,3.71,3.22,3.18,1.67,5.27,3.92,4.16,2.33,4.81,2.5,5.8,2.61,1.31,2.51,4.64,1.07,1.85,3.51,2.14,4.48,3.35,2.01,3.46
February,,0.03,2.67,0.25,3.06,1.81,3.78,1.52,2.75,2.99,3.05,1.78,2.31,0.92,3.07,2.51,0.78,1.86,2.74,2.75,3.18,0.61,1.29,3.9,3.49,1.07,1.81,3.88,0.93,2.54
March,,1.67,2.1,2.04,1.27,1.41,2.58,1.26,3.31,4.13,3.67,3.46,1.47,0.47,1.3,0.95,5.1,2.33,2.39,1.17,2.79,1.72,0.35,3.2,1.02,2.45,2.38,1.46,2.52,1.82
April,,3,0.99,2.46,2.7,0.89,2.1,0.14,2.19,3.42,1.95,2.16,1.66,1.74,1.35,1.19,3.37,2.27,2.13,3.63,1.66,1.35,1.99,0.56,2.34,1.1,1.26,1.07,3.27,2.3
May,,2.43,2.57,3.05,0.97,1.41,2,3.49,1.01,0.84,1.97,3.73,3.08,1.71,3.06,1.29,3.75,2.37,1.84,0.85,1.48,1.24,1.33,3.59,2.54,1.2,2.15,2.92,1.17,2.74
June,,0.92,2.06,1.35,4.91,3.1,1.87,3.41,2.62,1.31,0.65,0.15,3.52,3.41,4.19,2.23,4.23,4.42,1.08,2.32,2.82,2.46,1.43,3.5,4.66,2.83,1.46,5.17,2.22,2.89
July,,4.26,2.43,2.14,1.13,5.81,3.37,4.89,4.99,3.24,2.68,4.35,1.95,2.88,4.67,2.78,3.64,2.59,2.93,6.14,3.66,1.41,3.46,4.07,1.79,4.46,4.61,5.05,2.41,4.06
August,,2.4,2.33,5.13,2.1,1.77,2.78,2.55,1.51,0.77,3.21,4.98,4.69,4.19,1.9,4.84,0.64,3.79,3.09,4.69,4.49,3.03,3.5,2.12,0.79,7.05,5.99,3.99,0.89,3.96
September,,3.09,0.51,4.62,4.06,4.78,2.35,2.73,2.25,3.06,1.11,4.3,2.01,4.5,2.92,5.38,2.59,2.78,2.99,5.37,2.41,1.08,2.82,4.59,3.05,2.66,3.72,2.85,1.78,3.23
October,,3.44,2.09,4.64,3.66,2.82,2.23,6.77,3.56,4.11,3.92,2.39,2.61,4.12,3.1,1.63,1.86,2.41,4.49,3.21,1.02,4.16,2.03,5.23,1.51,2.32,4.09,2.69,3.89,3.41
November,,2.24,1.2,0.63,4.23,3.4,1.46,5.16,5.25,3.5,4.15,0.67,2.24,4.94,0.41,4.3,3.79,2.86,2.65,2.54,4.76,2.11,3.4,3.78,1.84,1.65,0.85,1.93,3.62,3.75
December,,5.27,1.92,4.42,2.39,3.19,2.41,3.68,2.78,4.13,1.89,3.88,2.25,3.9,2.41,4.38,3.12,4.39,5.07,2.48,4.56,2.94,3.5,3.73,3.77,4.56,4.39,4.65,4.42,3.08
Total,,31.07,23.28,34.16,31.96,34.27,32.17,39.31,35.44,34.68,29.92,37.12,31.71,36.94,30.71,36.29,35.37,37.87,34.01,36.46,35.34,26.75,26.17,40.12,30.31,33.49,37.19,39.01,29.13,37.24
