WINDGATE-EDGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE034006,Long,-1.9502111,Lat,53.502085,Elevation,1700,ft.,,,,,,,,,,,,
Station no,RR1405,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,3.1,6.8,1.8,1.7,6.3,4.5,3.1,,,,,,,,
February,,,,,,1.8,2.2,3.9,9.2,2.4,5,2.2,,,,,,,,
March,,,,,,5.5,2.2,1.4,4.4,1,0.8,3.7,,,,,,,,
April,,,,,,,4.8,5.1,2.1,2.5,3.5,1.5,,,,,,,,
May,,,,,,,,8,1.8,3.4,2.1,1.9,,,,,,,,
June,,,,,,,5.8,3.7,6.1,2.1,2.9,6.6,,,,,,,,
July,,,,,,4.7,,1.5,4.2,8.8,5.5,4.6,,,,,,,,
August,,,,,,14.8,,3.3,7.5,4.5,6.6,4.2,,,,,,,,
September,,,,,,4.1,,6,5.4,6.4,2.6,1.9,,,,,,,,
October,,,,,,5.9,5.6,4.9,8.3,6.3,6.4,4.6,,,,,,,,
November,,,,,,4,2.4,5,3.2,5.8,7.7,1.6,,,,,,,,
December,,,,,,11,2.7,7.5,3.8,4.7,2.9,2.3,,,,,,,,
Total,,,,,,,,52.1,57.7,54.2,50.5,38.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Windgate Edge at the stated altitude. NGR could be +/- 250m,,,,,,,,,,,,,,,,,,,,
