PRESTONKIRK (BEIL),,,,,,,,,,,,
Grid ref,NT633759,Long,-2.589624,Lat,55.974681,,,,,,,
Station no,RR6291,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.94,0.58,2.67,0.89,,
February,,,,,,,0.82,0.87,0.78,1.54,,
March,,,,,,,1.67,1.06,3.23,4.94,,
April,,,,,,,1.46,1.54,1.60,2.17,,
May,,,,,,,8.89,2.43,2.47,1.95,,
June,,,,,,,2.25,3.46,0.29,1.25,,
July,,,,,,,2.58,2.13,3.58,2.39,,
August,,,,,,,5.31,2.40,1.30,2.60,,
September,,,,,,,0.94,1.24,5.12,2.16,,
October,,,,,,,6.81,6.53,1.27,2.34,,
November,,,,,,,5.29,1.72,1.58,0.14,,
December,,,,,,,1.31,3.08,0.27,3.31,,
Total,,,,,,,40.27,27.04,24.16,25.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.27,27.04,24.16,25.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
