PRESTONKIRK (BEIL),,,,,,,,,,,,,,,,,,,,
Grid ref,NT633759,Long,-2.589624,Lat,55.974681,Elevation,180,ft,,,,,,,,,,,,
Station no,RR6291,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.94,0.58,2.67,0.89,1.88,0.86,1.97,2.13,1.61,1.63,,,,
February,,,,,,,0.82,0.87,0.78,1.54,2.57,0.82,2.31,0.66,1.34,2.91,,,,
March,,,,,,,1.67,1.06,3.23,4.94,0.74,1.96,1.23,1.96,2.07,1.35,,,,
April,,,,,,,1.46,1.54,1.6,2.17,2.55,0.98,0.35,1.94,0.61,0.55,,,,
May,,,,,,,8.89,2.43,2.47,1.95,1.88,0.84,1.84,2.43,1.89,1.32,,,,
June,,,,,,,2.25,3.46,0.29,1.25,1.19,2.85,2.76,0.97,1.9,1.67,,,,
July,,,,,,,2.58,2.13,3.58,2.39,3.95,0.72,1.09,0.44,2.02,3.44,,,,
August,,,,,,,5.31,2.4,1.3,2.6,3.48,1.12,5.78,1.39,2.49,4.32,,,,
September,,,,,,,0.94,1.24,5.12,2.16,0.81,1.2,1.26,1.85,0.5,4.07,,,,
October,,,,,,,6.81,6.53,1.27,2.34,2.92,2.49,3.84,1.29,1.61,1.21,,,,
November,,,,,,,5.29,1.72,1.58,0.14,3.01,3.65,1.65,1.2,2.86,1.09,,,,
December,,,,,,,1.31,3.08,0.27,3.31,1.47,3.2,1.15,1.23,4.57,4.56,,,,
Total,,,,,,,40.27,27.04,24.16,25.68,26.45,20.69,25.23,17.49,23.47,28.12,,,,
,,,,,,,,,,,,,,,,,,,,
"1916 Gauge moved to Ninewar NT624773, approx. 1 mile NW",,,,,,,,,,,,,,,,,,,,
