SITHNEY-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW636301,Long,-5.30809,Lat,50.12454,Elevation,296,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.17,6.76,4.34,,,4.19,0.69,7.17,6.79,5.91,,3.63,4.85,5.61,6.51,4.86,3.51,,,,,
February,,,,,,,,,3.97,2.98,3.91,4.01,,,0.01,4.33,7.21,7.91,2.06,,5.15,7.25,0.47,2.15,1.31,4.88,,,,,
March,,,,,,,1.07,,5.39,0.22,3.97,6.15,,,5.29,1.35,6.01,5.18,0.71,,2.47,4.43,3.98,0.83,0.64,0.99,,,,,
April,,,,,,,,,3.97,1.24,3.71,1.66,,,4.24,4.88,3.18,4.46,0,,4.48,1.61,2.02,2.04,2.55,1.4,,,,,
May,,,,,,,2.51,,2.26,3.66,2.14,4.27,,,2.42,1.95,1.77,2.11,2.85,,0.87,3.22,7.98,4.79,0.47,4.29,,,,,
June,,,,,,,,,3.01,3,1.37,4.33,,2.03,1.93,4.22,1.75,1.19,1.69,,2.25,1.65,0.17,1,3.07,5.65,,,,,
July,,,,,,,1.06,,1.59,1.87,3.12,6.32,,2.68,0.16,0.45,8.12,2.28,3.7,8.15,4.78,1.97,2.66,3.67,2.81,5.23,,,,,
August,,,,,,,,,,3.35,3.9,3.4,,3.5,2.2,2.18,2.76,0.53,5.98,3.41,0.17,5.65,3.45,3.1,2.41,2.03,,,,,
September,,,,,,,,,,0.57,5.21,2.97,,3.44,4.56,4.29,4.37,2.98,2.57,1.69,3.04,1.33,2.87,6.71,2.31,1.83,,,,,
October,,,,,,,,,6.64,9.58,4.76,1.64,,7.83,5.6,6.2,1.91,3.2,4.84,6.6,3.79,1.99,3.93,3.59,4.33,4.13,,,,,
November,,,,,,,,,3.66,12.82,7.52,9.44,,0.73,2.8,7.86,4.96,3.35,7.96,11.1,10.56,4.01,1.02,3.15,11.04,1.29,,,,,
December,,,,,,,,,4.59,8.14,3.74,3.02,,2.11,10.59,4.15,3.46,4.83,4.95,3.98,3.7,2.75,4.77,3,3.41,6.88,,,,,
Total,,,,,,,,,,50.6,50.11,51.55,,,43.99,42.55,52.67,44.81,43.22,,44.89,40.71,38.93,40.54,39.21,42.11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan Aug Sept Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Not published Gauge leaking Values estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Not published Big Improvement in catch after repairs in May so Jan-May removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
