NEWBURY-GREENHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU480666,Long,-1.3114522,Lat,51.396412,Elevation,260,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,4.09,3.56,4.07,4.86,1.36,2.34,5.97,4.1,1.97,3.51,1.36,4.3,1.02,3.45,0.51,2.28,1.4,2.88,2.68,2.63,3.37,2.68,,
February,,,,,,,3.65,2.29,1.84,2.54,1.69,1.2,2.45,1.32,2.03,2.3,2.13,1.37,1.92,4.39,3.75,3.34,1.98,4.76,1.3,3.5,0.8,0.84,,
March,,,,,,,2.22,2.21,1.89,1.48,2.34,1.38,2.47,2.9,0.69,1.14,2.94,2.08,0.95,0.81,1.04,1.95,1.57,0.83,2,1.62,1.61,1.94,,
April,,,,,,,2.12,2.94,2.51,0.88,0.37,3.62,2.28,0.6,1.46,1.47,2.04,3.01,2.6,3.37,2.2,0.72,4.86,1.08,1.92,2.11,1.87,1.29,,
May,,,,,,,1.38,2.27,0.92,3.13,1.26,0.41,2.61,1.58,1.86,2.29,0.47,2.68,3.41,3.74,0.33,1.15,1.73,2.01,0.69,2.04,4.12,1.51,,
June,,,,,,2.17,4.27,1.61,0.48,1.59,0.26,2.99,2.49,1.78,1.13,2.42,2.02,1.73,2.65,4.64,3,2,2.9,3.06,2.38,1.58,1.04,1.66,,
July,,,,,,1.91,1.45,3.06,1.8,0.5,0.88,3.48,3.66,1.79,0.96,4.58,0.78,3.02,0.82,3.68,4.78,1.89,2.45,2.86,2.12,0.23,2.68,1.48,,
August,,,,,,2.78,1.95,1.93,4.33,1.41,1.59,1.13,1.6,3.12,1.94,1.74,2.28,3.04,4.45,5.93,1,6.59,2.13,0.65,0.94,1.56,1.02,1.71,,
September,,,,,,0.13,6.61,2.38,4.45,4.58,2.41,4.46,1.05,2.28,3.77,2.06,4.43,1.58,1.08,2.92,4.24,1.51,2.7,4.15,1.37,3.78,1.71,2.39,,
October,,,,,,6.44,1.66,2.83,2.76,1.39,3.99,1.86,4.07,2,3.93,5.5,1.4,1.75,3.29,0.85,4.99,1.69,6.13,2.13,1,4.06,4.04,1.68,,
November,,,,,,3.9,1.67,1.11,1.57,1.37,1.62,0.42,3.54,2.43,1.46,3.56,3.22,6.29,3.46,0.55,2.5,3.46,3.33,2.67,1.77,3.72,3.28,3.44,,
December,,,,,,2.71,2.46,1.34,5.89,4.03,2.63,1.6,5.14,0.51,1.72,1.23,5.2,1.47,1.49,1.05,3.24,3.22,2.5,0.37,2.72,1.39,4.49,1.92,,
Total,,,,,,,33.53,27.53,32.51,27.76,20.4,24.89,37.33,24.41,22.92,31.8,28.27,32.32,27.14,35.38,31.58,29.8,33.68,27.45,20.89,28.22,30.03,22.54,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Round Oak, which is mentioned on the records. Altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
