"MIDDLESBROUGH (DORMAN MEMORIAL MUSEUM)",,,,,,,,,,,,
Grid ref,NZ492191,Long,-1.240616,Lat,54.564744,,,,,,,
Station no,3488,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.35,0.57,1.05,0.55,,
February,,,,,,,1.20,0.95,1.35,1.00,,
March,,,,,,,1.20,0.70,1.70,3.27,,
April,,,,,,,0.53,1.30,2.15,1.45,,
May,,,,,,,3.68,3.65,1.70,1.49,,
June,,,,,,,0.65,3.00,0.45,1.80,,
July,,,,,,,1.00,1.42,2.70,2.60,,
August,,,,,,,2.85,1.69,1.23,5.45,,
September,,,,,,,0.49,0.31,1.55,1.60,,
October,,,,,,,4.10,4.07,1.15,2.15,,
November,,,,,,,2.40,2.09,1.21,0.69,,
December,,,,,,,2.00,2.90,0.90,2.35,,
Total,,,,,,,22.45,22.65,17.14,24.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.45,22.65,17.14,24.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
