MIDDLESBROUGH - DORMAN MEMORIAL MUSEUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ492191,Long,-1.241,Lat,54.565,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,
Station no,3488,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933
January,2.35,0.57,1.05,0.55,1.33,1.05,2.14,2.69,1.90,2.18,0.58,3.33,1.69,1.76,3.23,3.46,1.15,1.16,2.06,0.86,1.56,1.37,2.53,2.20,2.99,1.46,,2.11
February,1.20,0.95,1.35,1.00,1.75,0.81,1.45,0.61,0.90,2.45,2.63,0.37,1.52,0.32,0.72,0.17,1.54,2.06,2.21,2.27,1.48,0.55,1.08,0.41,1.30,0.99,,2.59
March,1.20,0.70,1.70,3.27,0.35,1.82,1.77,1.70,1.30,1.57,3.65,1.34,1.08,2.06,2.31,0.87,1.56,0.92,1.14,1.57,0.82,1.67,1.21,0.10,3.30,0.93,2.20,1.35
April,0.53,1.30,2.15,1.45,1.75,1.02,0.10,2.54,0.37,0.87,1.50,1.69,1.74,1.55,2.46,0.99,1.39,1.85,1.91,1.96,1.19,1.37,0.71,0.88,1.78,2.84,0.60,0.86
May,3.68,3.65,1.70,1.49,1.65,0.60,2.60,1.78,1.71,1.53,2.60,0.70,0.74,0.87,2.02,1.62,1.89,2.47,3.58,2.31,1.72,1.62,1.26,1.04,0.94,2.32,4.29,1.96
June,0.65,3.00,0.45,1.80,1.89,3.53,3.92,1.93,4.15,0.46,2.17,2.59,0.47,0.77,0.66,0.36,1.84,0.72,2.76,0.04,2.00,2.21,4.13,1.95,1.33,2.63,1.07,1.65
July,1.00,1.42,2.70,2.60,3.12,0.75,2.70,0.78,4.54,5.17,1.97,1.23,3.95,1.53,4.91,1.72,4.04,2.35,3.82,3.10,4.76,4.26,0.62,2.04,4.81,4.73,3.23,1.64
August,2.85,1.69,1.23,5.45,2.99,2.75,3.05,1.87,0.95,2.23,2.57,7.41,1.82,2.49,1.54,5.53,2.47,2.84,3.76,3.14,2.00,4.72,3.51,2.32,3.23,2.13,2.31,0.50
September,0.49,0.31,1.55,1.60,0.28,1.72,1.48,1.76,2.29,1.15,1.93,0.81,4.56,0.72,1.22,0.75,2.85,2.13,1.91,2.35,2.35,3.76,0.42,1.07,2.38,3.93,2.23,1.33
October,4.10,4.07,1.15,2.15,2.53,1.97,2.04,3.33,2.12,2.04,2.03,2.14,1.83,5.90,2.40,1.57,1.61,2.03,3.09,2.47,2.71,2.18,2.49,2.10,1.93,0.85,2.79,3.73
November,2.40,2.09,1.21,0.69,1.69,3.42,2.97,1.47,2.24,1.57,2.10,1.30,0.84,3.33,0.64,2.03,0.74,3.74,0.62,2.65,3.31,3.58,1.83,2.10,2.68,1.82,1.26,3.05
December,2.00,2.90,0.90,2.35,1.15,2.71,0.98,1.29,3.35,4.74,2.52,2.35,2.89,1.70,3.33,1.95,3.38,2.77,2.80,2.55,0.98,1.74,1.12,2.23,1.30,0.53,0.93,1.54
Total,22.45,22.65,17.14,24.40,20.48,22.15,25.20,21.75,25.82,25.96,26.25,25.26,23.13,23.00,25.44,21.02,24.46,25.04,29.66,25.27,24.88,29.03,20.91,18.44,27.97,25.16,,22.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Figures for January and February 1932 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
