BLAIR ATHOLL (BLAIR CASTLE GDNS),,,,,,,,,,
Grid ref,NN864658,Long,-3.86026,Lat,56.769889,Elevation,450,ft,,
Station no,5564,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.43,2.34,5.11,2.97,2.17,2.67
February,,,,,2.47,2.12,3.62,2.33,0.77,3.52
March,,,,,0.67,2.28,3.41,1.21,2.75,1.51
April,,,,,0.91,0.75,0.88,0.96,2.79,3.53
May,,,,,2.25,1.71,1.91,2.9,0.92,1.92
June,,,,,1.24,2.49,1.37,2.74,1.86,1.98
July,,,,2.51,0.5,4.06,4.1,3.91,4.23,2.12
August,,,,3.74,1.19,5.36,2.92,4.86,1.23,2.95
September,,,,3.35,1.81,5.9,2.17,4.97,1.21,2.79
October,,,,5.13,3.46,2.69,2.17,2.8,5.13,3.5
November,,,,8.11,1.98,1.43,0.66,0.87,4.63,3.68
December,,,,5.32,6.24,5.69,3.45,4.23,6.58,3.92
Total,,,,43.25,24.15,36.82,31.77,34.75,34.27,34.09
