ERISKA ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM902430,Long,-5.413217,Lat,56.532053,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,9.09,5.38,6.8,8.69,6.26,5.13,7,5.67,6.13,6.73,6.26,4.8,3.89,4.38,6.09,7.43,6.69,3.23,6.67,5.18,8.15,9.18,4.59,8.3,5.75,4.57,7.61,8.76,10.59,3.08,
February,3.13,2.6,1.83,8.69,6.84,5.47,4.23,5.87,5.02,3.55,9.51,7.81,2.77,5.13,8.14,5.59,5.53,1.41,7.99,0.54,10.98,3.54,7.11,4.5,1.95,3.13,6.25,4.61,7.36,3.45,
March,0.43,3.25,6.13,10.17,3.31,4.19,4.12,5.1,4.58,0.64,3.31,2.34,5.73,7.8,5.05,5.62,0.79,2.9,2.41,2.47,7.27,9.52,2.66,2.07,0.54,3.03,6.65,4.37,3.77,1.94,
April,4.58,4.59,2.39,3.47,5.85,3.19,3.78,3.03,1.3,4.3,5.4,4.71,4.09,4.48,4.81,4.69,3.86,2.49,1.51,5.36,2.58,1.33,2.67,3.87,3.17,4.3,1.99,6.72,2.97,3.06,
May,5.87,1.84,3.26,3.89,5.99,4.2,5.43,4.48,4.24,3.81,3.92,3.88,3.58,4.74,2.77,0.81,4.86,5.05,3.66,1.48,6.33,4.61,8.19,2.81,4.15,9.25,3.42,3.74,0.75,5.27,
June,3.33,5.29,2.13,2.19,3.98,1.02,2.15,6.36,4.36,1.99,2.51,3.91,8.04,4.63,2.51,2.04,2.43,3.84,2.67,5.25,4.4,1.54,5.04,2.87,6.47,0.5,1.62,4.71,2.19,4.82,
July,4.3,2.53,3.84,7.04,3.56,6.64,4.99,3.14,5.4,5.21,5.09,5.09,2.79,1.12,2.68,6.03,3.03,2.49,5.68,1.47,5.13,5.07,5.11,7.1,6.83,2.1,3.13,3.03,6.16,5.66,
August,6.04,6.75,4.7,8.76,6.68,6,6.1,10,5.73,4.77,8.65,4.24,4.75,2.56,6.79,3.32,5.47,7.39,5.52,5.65,4.83,4.72,4.5,7.99,6.35,3.15,5.43,5.94,7.38,8.57,
September,7.75,4.73,5.51,4.14,6.68,7.26,4.91,2.76,9.83,3.36,2.8,4.54,4.06,2.79,4.39,2.13,2.22,7.92,5.69,6.43,4.67,4.27,2.97,9.21,7.44,4.27,4.93,4.81,4.22,4.79,
October,7.67,9.38,6.17,11.79,4.97,5.42,7.65,3.52,1.73,10.08,4.05,3.53,7.12,5.07,2.52,2.57,10.72,10.15,7.47,2.56,3.03,8,4.27,13.96,4.79,2.35,7.42,6.27,7.08,11.52,
November,6,4.92,4.85,6.23,3.84,4.62,4.99,5.31,6.4,6.47,4.62,6.81,6.71,9.71,7.68,2.68,7.07,12.49,6.62,4.95,9.05,3.1,4.77,6.09,4.67,1.73,5.75,5.86,8.68,10.22,
December,13.54,5.41,6.84,5.48,5.85,4.54,6.66,6.68,7.19,7.75,5.16,9.67,12.38,6.23,9.32,5.99,6.64,3.31,8.07,8.13,5.75,10.8,5.13,6.69,9.34,5.73,4.75,0.2,6.67,18.15,
Total,71.73,56.67,54.45,80.54,63.81,57.68,62.01,61.92,61.91,58.66,61.28,61.33,65.91,58.64,62.75,48.9,59.31,62.67,63.96,49.47,72.17,65.68,57.01,75.46,61.45,44.11,58.95,59.02,67.82,80.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 small interpolation for several months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1924 printed in Italics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Comment some months seem low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6-11 months : 1929/01-1929/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
with Barcaldine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
