HARLSEY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE426997,Long,-1.345,Lat,54.391,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
January,1.59,3.04,0.50,2.86,2.01,2.39,3.11,3.07,2.42,1.12,1.61,1.46,2.41,1.86,3.43,1.97,3.86,2.04,1.35,2.19,0.91,2.42,3.36,2.81,2.38,3.55,1.64,2.80,1.96,2.95,1.58,4.94,1.25,1.61,4.57,0.63,1.07,2.11,1.34,0.85,2.62,1.55,2.71,1.58,1.92
February,1.75,2.59,3.00,0.71,1.61,1.44,0.96,0.22,1.67,2.88,0.69,2.67,1.21,0.96,1.06,0.52,2.72,1.24,1.03,4.74,0.47,2.70,2.47,3.40,1.60,1.42,1.14,2.94,1.62,0.67,2.47,1.59,0.88,1.32,0.87,0.42,3.07,2.02,0.43,1.45,1.79,1.70,2.54,2.07,2.98
March,1.74,1.83,3.47,1.86,1.14,2.74,2.75,1.09,1.79,1.03,1.12,1.45,0.75,2.32,1.90,0.42,2.94,1.17,1.81,1.74,1.76,0.90,2.33,3.27,0.20,2.18,2.59,2.08,2.27,0.43,0.66,0.36,1.07,3.04,0.95,1.26,0.88,2.85,1.58,0.27,1.36,2.32,0.50,1.17,1.62
April,0.55,1.03,1.44,2.17,1.64,1.85,2.98,1.20,1.91,1.58,2.11,2.64,0.82,2.09,0.66,0.89,2.68,4.21,1.26,1.11,3.00,2.97,1.12,2.89,0.18,1.02,2.03,0.92,0.62,1.03,1.88,1.12,2.10,2.79,0.94,2.45,2.43,1.53,1.98,2.14,0.32,1.29,0.92,0.31,1.19
May,1.61,1.71,2.51,0.74,1.74,0.77,2.32,1.40,2.55,2.79,4.28,2.79,2.27,1.45,1.29,1.59,1.21,2.36,4.96,2.24,1.33,1.09,1.72,2.90,3.61,2.15,0.94,2.60,2.43,2.24,1.07,2.75,2.21,1.95,1.60,1.11,1.10,3.98,1.32,1.91,3.43,2.12,0.31,1.95,3.15
June,4.00,0.51,2.72,2.35,0.65,1.33,1.13,0.41,2.00,0.78,2.64,0.20,2.80,2.43,3.76,1.46,1.59,4.32,0.89,2.01,1.98,2.80,5.51,1.56,1.88,2.34,1.00,0.39,1.19,1.42,2.35,2.57,1.87,2.93,5.14,0.76,1.58,1.05,1.52,2.77,2.91,2.48,3.45,3.50,2.61
July,4.45,4.05,2.69,1.18,4.66,2.31,4.95,1.48,4.30,1.56,2.41,2.58,2.96,3.89,0.85,1.90,9.10,4.67,4.78,2.01,2.53,0.74,3.27,1.06,2.60,3.36,6.61,2.09,2.57,1.05,2.45,1.57,5.12,1.47,1.21,1.88,2.76,3.54,1.31,3.01,2.04,1.13,3.40,4.45,2.17
August,1.19,3.14,1.43,6.64,2.56,2.58,1.55,4.58,2.36,3.06,2.98,2.56,2.38,6.71,4.44,2.62,3.38,3.01,1.98,0.49,2.20,2.14,1.84,1.24,3.29,2.31,1.07,2.59,2.69,2.67,3.37,5.52,4.33,0.19,3.02,2.39,4.73,5.79,2.83,3.15,5.60,1.21,7.51,6.57,5.49
September,1.50,0.75,2.17,0.46,5.03,0.73,1.28,0.92,2.60,2.58,1.83,2.49,1.79,4.78,0.48,1.14,3.63,4.88,2.58,1.52,2.11,5.14,5.77,1.26,1.88,1.81,1.43,0.77,2.36,3.99,4.42,1.59,3.89,2.01,1.86,0.36,2.76,1.99,4.72,1.60,1.62,1.33,2.01,3.14,2.44
October,1.85,0.93,2.97,2.68,2.20,5.69,1.52,1.10,2.07,2.49,3.73,2.53,2.78,2.28,2.82,2.71,2.12,1.21,3.56,3.86,2.55,3.50,1.77,1.52,3.74,4.01,2.53,3.47,2.45,1.79,2.80,3.37,1.00,0.58,0.92,2.19,1.27,1.60,3.54,1.78,4.08,1.93,1.32,1.88,1.77
November,2.49,1.47,1.57,1.33,1.03,3.10,1.00,1.93,0.90,3.58,0.93,1.62,3.83,2.48,2.14,2.79,2.91,2.94,1.46,3.38,2.01,5.06,2.53,3.09,2.98,2.06,3.44,3.72,1.54,2.28,4.08,0.78,3.80,2.01,1.13,3.17,4.71,5.49,2.46,1.90,4.18,2.43,0.98,1.61,0.69
December,4.16,4.48,2.04,1.97,3.34,2.67,2.53,2.07,2.87,2.21,2.95,3.44,0.79,1.63,1.20,3.31,2.00,0.99,1.04,1.34,4.23,2.16,1.66,4.37,3.67,1.66,2.20,0.40,1.59,1.06,1.39,1.31,2.71,1.83,2.13,2.01,2.40,2.16,1.85,1.02,2.35,2.76,1.91,1.92,2.59
Total,26.88,25.53,26.51,24.95,27.61,27.60,26.08,19.47,27.44,25.66,27.28,26.43,24.79,32.88,24.03,21.32,38.14,33.04,26.70,26.63,25.08,31.62,33.35,29.37,28.01,27.87,26.62,24.77,23.29,21.58,28.52,27.47,30.23,21.73,24.34,18.63,28.76,34.11,24.88,21.85,32.30,22.25,27.56,30.15,28.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
