"EAST HARLSEY (HARLSEY HALL)",,,,,,,,,,,,
Grid ref,SE428996,Long,-1.342402,Lat,54.390091,,,,,,,
Station no,3443,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.11,1.34,0.85,2.62,1.55,2.71,1.58,1.92,,,,
February,2.02,0.43,1.45,1.79,1.70,2.54,2.07,2.98,,,,
March,2.85,1.58,0.27,1.36,2.32,0.50,1.17,1.62,,,,
April,1.53,1.98,2.14,0.32,1.29,0.92,0.31,1.19,,,,
May,3.98,1.32,1.91,3.43,2.12,0.31,1.95,3.15,,,,
June,1.05,1.52,2.77,2.91,2.48,3.45,3.50,2.61,,,,
July,3.54,1.31,3.01,2.04,1.13,3.40,4.45,2.17,,,,
August,5.79,2.83,3.15,5.60,1.21,7.51,6.57,5.49,,,,
September,1.99,4.72,1.60,1.62,1.33,2.01,3.14,2.44,,,,
October,1.60,3.54,1.78,4.08,1.93,1.32,1.88,1.77,,,,
November,5.49,2.46,1.90,4.18,2.43,0.98,1.61,0.69,,,,
December,2.16,1.85,1.02,2.35,2.76,1.91,1.92,2.59,,,,
Total,34.11,24.88,21.85,32.30,22.25,27.56,30.15,28.62,,,,
Calc annual,34.11,24.88,21.85,32.30,22.25,27.56,30.15,28.62,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,,
