GLEN CROE - UPPER- REST & BE THANKFUL,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 23219 06969,Long,-4.852829,Lat,56.222327,Elevation,520,ft,,,,,,,,,,,,
Station no,RR8286,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,12.8,24,9.4,28.35,17,9.5,,,,,,,,,
February,,,,,,8.36,15,16.76,21.4,19.15,13.1,,,,,,,,,
March,,,,,,5.5,9.7,5.14,16.25,4.4,3.9,,,,,,,,,
April,,,,,,4.52,8,17.22,10.85,4.52,7.8,,,,,,,,,
May,,,,,,7.6,3.56,5.1,8.64,1.4,12.6,,,,,,,,,
June,,,,,10.6,3.36,5.34,8.9,7.84,4.75,7.4,,,,,,,,,
July,,,,,7.9,8.44,6.03,6.9,3.72,7.3,7.6,,,,,,,,,
August,,,,,4.2,10.78,13.05,7.25,12.95,2.2,4.9,,,,,,,,,
September,,,,,15.6,6.44,15.15,13.2,5.5,18.03,10.2,,,,,,,,,
October,,,,,,9.9,11.32,18,16.4,8.15,16.8,,,,,,,,,
November,,,,,,9.3,12,7,12.35,14.32,6.8,,,,,,,,,
December,,,,,,17.7,21.55,9.43,22.35,20.28,8.6,,,,,,,,,
Total,,,,,,104.7,144.7,124.3,166.6,121.5,109.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8286,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
