EDINBURGH WWKS (NETHER GARELET),,,,,,,,,,
Grid ref,NT114209,Long,-3.403186,Lat,55.473868,Elevation,1550,ft,,
Station no,5071/3,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,6.3,6.5,7.1,4.4,2.7
February,,,,,,2.1,2,3.2,3.7,4.7
March,,,,,,3.7,6,4,1.3,5
April,,,,,,1.3,7.1,3.2,4,2.9
May,,,,,,1.5,4.7,2.3,2.5,1.9
June,,,,,,3.3,4.4,5.6,1.3,3.3
July,,,,,,5.4,3.3,3.3,2.4,5
August,,,,,,5.5,0,6.9,4,6.7
September,,,,,,6.7,5.7,4.2,2.2,10.4
October,,,,,,1.1,3.1,3.5,7.3,3.6
November,,,,,,9.4,5.8,3,5.3,4.7
December,,,,,,5.3,2.8,6.6,6.5,1.72
Total,,,,,,51.6,51.4,52.9,44.9,52.62
,,,,,,,,,,
Elevation on record says 160 ft; NGR is at 1550 ft,,,,,,,,,,
,,,,,,,,,,
15904,NETHER GARELET ,NT1158720699,01/01/1947,31/12/1966,,,,,,
