"EDINBURGH WW (NETHER GARELET)",,,,,,,,,,,,
Grid ref,NT114209,Long,-3.403186,Lat,55.473868,,,,,,,
Station no,5071/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.66,5.76,3.00,4.09,4.80,3.40,9.10,5.90,3.40,5.60,,
February,4.59,1.44,2.30,4.92,2.30,1.90,5.10,4.30,1.90,8.60,,
March,3.98,3.90,0.70,4.09,2.75,2.60,4.90,2.40,4.50,2.60,,
April,4.95,3.74,4.32,1.48,2.42,1.10,2.87,2.44,6.20,7.20,,
May,3.40,3.00,4.60,7.90,4.00,3.40,3.20,4.70,2.50,4.00,,
June,2.90,3.70,2.40,4.90,3.10,4.10,2.60,3.80,3.70,3.20,,
July,4.00,3.40,9.30,5.80,2.50,4.80,5.70,5.20,5.40,4.60,,
August,8.00,5.00,3.80,7.00,2.90,10.20,5.80,6.60,2.00,4.50,,
September,6.40,2.70,7.20,8.50,4.20,6.30,4.30,5.90,1.50,4.90,,
October,1.00,7.40,5.70,11.40,4.10,4.10,6.20,5.10,6.70,5.80,,
November,13.00,4.10,7.30,12.90,3.70,2.40,2.50,1.40,14.10,10.40,,
December,8.80,5.10,5.30,6.70,6.70,8.20,6.30,6.90,10.30,4.90,,
Total,68.68,49.24,55.92,79.68,43.47,52.50,58.57,54.64,62.20,66.30,,
Calc annual,68.68,49.24,55.92,79.68,43.47,52.50,58.57,54.64,62.20,66.30,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
