WILLESDEN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ226842,Long,-0.233457,Lat,51.543389,Elevation,167,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.75,1.05,1.16,2.66,3.67,2.4,2.33,2.58,1.41,2.52,1.77,2.94,2.02,3.86,1.05,2.47,1.32,1.72,1.69,1.41,0.93,4.38,3.97,3.03,5.06,2.2,2.5,2.53,4.97,1.69,1.55,1.63,1.49,4,1.17,0.98,3.01,1.72,1.02,1.05,2.73,4.17,1.35,2.54,2.1,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3,2.82,0.9,0.96,2.45,0.34,0.12,2.22,3.35,0.45,3.07,3.12,3.41,1.8,0.49,0.8,1.87,0.11,2.32,0.25,2.33,1.68,4.38,0.52,0.81,1.77,2.29,1.13,1.31,0.75,1.78,2.93,1.59,1.48,0.98,3.44,5.39,1.03,1.41,2.18,1.6,0.43,2.97,2.52,0.09,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,4.32,0.66,3.52,1.4,0.99,3.24,1.16,1.17,1.51,2.41,0.76,0.59,0.38,2.55,1.63,0.05,1.52,0.26,1.27,2.52,2.23,0.4,1.07,3.06,0.32,1.4,3.18,2.88,1.93,0.32,0.09,0.58,1.4,5.94,0.59,1.02,0.74,3.63,3.04,0.43,2.34,1.07,1.01,1.1,1.33,1.78,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.87,1.04,0.96,2.21,3.22,2.78,2.87,1.15,2.52,1.73,3.01,2.02,3.18,2.12,1.42,1.24,1.9,3.67,2.23,1.12,1.74,3.33,1.62,2.37,0.09,2.52,2.19,1.88,0.98,1.11,1.47,1.09,2.39,1.78,1.28,1.78,2.68,2.65,1.23,2.51,0.25,0.5,1.19,0.29,1.78,2.43,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.86,2.95,1.73,1.95,2.02,0.44,0.88,0.98,0.89,1.88,3.46,1.96,2.14,1.27,2.29,1.61,2.33,2.6,5.03,1.67,0.54,0.98,0.5,2.84,1.69,1.24,1.58,2.15,3.09,1.89,0.8,3.06,3.01,0.96,2.88,2.05,1.96,2.66,1.52,1.6,2.81,4.84,0.35,1.24,2.43,0.79,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.36,0.38,2.11,4.52,0.93,1.5,1.96,0.19,1.01,0.45,3.03,0.08,3.54,2.55,3.16,1.68,2.69,1.45,0.5,1.67,1.01,3.7,3.96,1.98,0.46,1.48,0.64,2.27,0.36,1.64,1.45,1.95,3.21,3.12,1.86,0.79,1.31,1.16,1.54,1.97,3.46,1.91,2.02,0.73,5.33,1.22,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.49,4.84,1.42,4.36,4.9,2.82,4.37,0.08,2.84,2.88,4.12,3.42,1.94,3.51,2.02,3.23,1.75,3.32,2.62,0.98,1.17,0.63,2.9,0.93,1.59,3.18,2.92,4.9,1.54,2.03,1.47,2.68,3.2,1.45,1.19,0.85,4.19,1.47,0.6,3.84,2.84,0.15,4.64,3.53,1.98,1.41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.61,3.49,4.09,3.44,1.59,2.33,1.61,2.45,1.65,1.57,2.69,2.57,1.2,4.44,2.21,1.61,3.48,5.74,1.38,0.68,2.23,2.11,0.46,2.84,3.39,4.17,0.12,5.79,2.09,1.44,2.31,1.01,4.12,0.2,3.07,1.46,1.87,4.25,4.49,1.97,4.21,0.9,3.93,1.97,2.81,2.83,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.81,2.03,1.16,1.63,5.85,1.35,2.7,2.22,1.52,1.18,3.15,2.52,0.85,4.79,0.98,0.33,3.13,2.79,2.11,2.5,1.35,3.49,3.12,1.69,1.9,1.26,0.88,0.67,1.31,2.35,2.56,1.64,4.17,1.36,1.4,0.45,3.44,3.43,3.1,2.37,2.15,1.98,2.24,2.71,4.01,0.08,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.3,2.04,3.39,3.13,1.27,0.63,1.57,0.66,1.28,4.92,3.86,3.02,2.13,1.77,4.05,2.7,1.26,0.62,5.59,1.37,0.99,2.56,1.94,2.81,2.75,5.09,2.86,0.93,3.38,2.76,2.82,2.38,1.4,0.17,1.86,5.13,0.8,1.15,3.12,3.27,2.2,3.7,2.77,2.08,2.73,1.99,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.96,2.09,4.17,1.46,2.04,1.28,1.3,1.73,1.52,1.52,2.52,2.04,5.24,3.17,1.87,5.92,4.27,2.19,1.54,1.17,2.14,4.01,3.27,1.41,3.1,5.07,6.51,2.36,2.09,1.65,3.9,0.14,4.28,1.17,1.99,2.65,4.62,5.83,4.01,1.24,3.7,0.96,0.44,2.57,2.63,2.54,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,6.23,5.28,2.32,1.03,2.28,3.82,2.02,1.23,2.88,1.98,3.4,2.74,0.24,3.58,2.7,4.48,2.11,0.8,0.64,0.38,5.14,2.85,1.61,3.51,3.54,1.06,1.18,2.15,2.48,1.32,1.24,2.97,2.02,2.51,2.85,1.74,2.01,1.36,2.18,0.55,1.86,2.04,2.97,2.13,3.03,3.72,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,31.55,28.74,27.19,28.71,26.31,23.18,14.31,22.42,25.28,32.97,25.8,26.9,35.18,27.99,24.39,27.71,26.63,24.74,18.07,20.2,27.32,26.51,31.79,22.38,32.34,26.03,30.77,22.91,22.79,20.55,20.83,33.76,21.74,24.45,20.07,28.04,35.99,27.58,22.18,29.05,22.38,26.16,22.67,33.12,20.98,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
