ELLASTONE-VICARAGE-1800s,,,,,,,,,,,,,,,,,,,,
Grid ref,SK116433,Long,-1.8286561,Lat,52.986914,Elevation,400,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,4.21,1.54,2.7,3.23,3.35,2.6,3.13,2.15,1.55,5.3,2.45,2.75,,,,,
February,,,,0.76,3.28,2.99,3.07,2.6,2.91,2.5,1.84,3.2,4.17,1.01,2.75,,,,,
March,,,,1.29,3.19,2.02,2.37,2.33,4.2,2.2,1.79,1.69,2.47,2.95,1.86,,,,,
April,,,,1.19,1.48,1.4,0.97,4.22,2.82,2.12,0.82,4.24,2.42,0.71,1.68,,,,,
May,,,,1.64,2.72,4.09,1.26,2.32,1.54,4.64,1.56,2.34,2.15,2.91,1.61,,,,,
June,,,,3.69,2.36,0.73,4.57,2.26,1,1.3,1.33,4.13,5.47,2.86,1.44,,,,,
July,,,,2.17,0.8,2.6,3.78,3.88,0.49,0.67,1.54,5.06,3.35,2.98,2.28,,,,,
August,,,,1.75,2.02,5.65,6.11,2.42,4.61,2.43,2,1.61,3.48,2.9,3.9,,,,,
September,,,,4.99,3.7,0.2,6.63,2.56,2.24,5.72,1.67,5.16,4.65,2.68,2.26,,,,,
October,,,,4.45,2.98,6.38,2.7,3.88,3.96,2.33,6.96,3.74,5.24,2.14,3.49,,,,,
November,,,,3.08,2.66,2.88,4.28,0.96,2.54,3.86,2.64,1.75,4.15,2.29,4.86,,,,,
December,,,,2.45,2.36,1.26,3.02,3.81,8.57,4.26,2.56,1.69,4.64,0.35,3.04,,,,,
Total,,,,31.67,29.09,32.9,41.99,34.59,37.48,35.16,26.86,36.16,47.49,26.23,31.92,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is near vicarage. Altitudes match. The 1870s record has Oakmoor in its title and not vicarage; the observer is the same, Reverend C R Lighton, and the altitude is the same. Oakmoor may be the parish but this is not definite.",,,,,,,,,,,,,,,,,,,,
