ELLASTONE-VICARAGE-1950s,,,,,,,,,,
Grid ref,SK116433,Long,-1.8286561,Lat,52.986914,Elevation,410,ft.,,
Station no,2365/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.79,3.66,3.01,5.73
February,,,,,,,2.7,5.07,0.53,2.82
March,,,,,,,3.02,1.78,1.51,1.51
April,,,,,,,0.32,1.29,3.12,1.41
May,,,,,,,1.05,3.74,0.48,2.04
June,,,,,,,1.76,4.78,1.45,3.72
July,,,,,,,3.44,4.39,1.92,3.61
August,,,,,,,6.84,2.65,1.06,4.76
September,,,,,,,7.1,3.52,0.15,5.01
October,,,,,,,2.5,3.62,2.17,5.7
November,,,,,,,1.98,1.9,3.89,5.04
December,,,,,,,2.67,4.19,5.1,3.9
Total,,,,,,,36.17,40.59,24.39,45.25
,,,,,,,,,,
"1950s record has NGR of SK117434, which is the wrong side of the vicarage. ",,,,,,,,,,
