MAYFIELD-HOUSE-ASHBOURNE-GAUGE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK157448,Long,-1.7675111,Lat,53.000294,Elevation,374,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.98,5.74,1.98,2.01,1.89,3.11,1.18,4.89,4.5,2.1,4.18,1.75,3.13,2.36,4.64,4.12,,,,,,,,,,
February,,,,,,1.26,4.18,2.8,2.72,0.76,3.45,2.64,1.56,1.06,2.27,3.61,4.47,1.29,2.59,2.15,2.89,,,,,,,,,,
March,,,,,,4.46,2.94,2.41,3.21,3.56,0.73,1.64,4.08,4.54,4.4,1.23,3.49,2.06,1.75,5.63,1.93,,,,,,,,,,
April,,,,,2.12,2.65,1.62,2.15,3.15,1.92,2.4,2.05,0.36,3.99,1.29,1.01,2.99,1.7,1.22,1.81,4.92,,,,,,,,,,
May,,,,,2.32,0.47,2.99,3.86,3.18,1.72,2.36,1.01,2.31,2.59,2.19,1.46,2.08,2.51,2.6,1.38,3.48,,,,,,,,,,
June,,,,,0.57,2.33,1.81,4.35,2.43,2.59,2.32,2.5,4.41,1.73,1.26,3.06,2.26,2.34,1.06,1.2,4.22,,,,,,,,,,
July,,,,,1.61,2.63,0.79,2.59,3.44,4.25,3.46,0.38,4.34,0.74,5.74,5.56,2.19,1.52,4.12,2.14,5.13,,,,,,,,,,
August,,,,,4.28,4.29,2.37,3.54,3.87,2.76,4.28,1.68,6.75,1.64,2.91,2.73,2.25,6.17,2.39,2.78,1.28,,,,,,,,,,
September,,,,,2.55,1.69,1.3,0.76,2.79,3.26,0.21,2.33,1.38,1.61,2.16,0.41,1.54,1.46,8.04,2.46,1.92,,,,,,,,,,
October,,,,,1.12,2.38,6.85,5.33,1.33,6.03,2.36,2.28,3.95,2.79,2.68,2.59,4.28,5.56,1.87,2.95,2.06,,,,,,,,,,
November,,,,,2.12,4.08,3.59,3.57,2.63,0.84,7.41,2.71,3.1,2.85,4.34,2.62,3.42,3.44,2.09,2.87,1.11,,,,,,,,,,
December,,,,,2.01,0.77,4.48,3.32,2.63,7.4,5.22,5.42,3.96,1.51,6.06,6.13,3.48,1.52,5.61,6.02,3.17,,,,,,,,,,
Total,,,,,,28.99,38.66,36.66,33.39,36.98,37.31,25.82,41.09,29.55,37.4,34.59,34.2,32.7,35.7,36.03,36.23,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1940 record and is Mayfield House. Altitudes match. 3 gauges but gauge 2 may actually be two gauges but all gauges are in the same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are a few duplicated results between the gauge, which are fairly random and probably to be expected given the consistency of readings between the gauges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
