"MAYFIELD HOUSE [ASHBOURNE]",,,,,,,,,,,,
Grid ref,SK157449,Long,-1.767506,Lat,53.001193,,,,,,,
Station no,2367,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.98,5.74,1.98,2.01,1.89,,
February,,,,,,1.26,4.18,2.80,2.72,0.76,,
March,,,,,,4.46,2.94,2.41,3.21,3.56,,
April,,,,,2.12,2.65,1.62,2.15,3.15,1.92,,
May,,,,,2.32,0.47,2.99,3.86,3.18,1.72,,
June,,,,,0.57,2.33,1.81,4.35,2.43,2.59,,
July,,,,,1.61,2.63,0.79,2.59,3.44,4.25,,
August,,,,,4.28,4.29,2.37,3.54,3.87,2.76,,
September,,,,,2.55,1.69,1.30,0.76,2.79,3.26,,
October,,,,,1.12,2.38,6.85,5.33,1.33,6.03,,
November,,,,,2.12,4.08,3.59,3.57,2.63,0.84,,
December,,,,,2.01,0.77,4.48,3.32,2.63,7.40,,
Total,,,,,,28.99,38.66,36.66,33.39,36.98,,
Calc annual,0.00,0.00,0.00,0.00,18.70,28.99,38.66,36.66,33.39,36.98,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
