"DONCASTER PUMPING STATION",,,,,,,,,,,,
Grid ref,SE572034,Long,-1.138673,Lat,53.524162,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.33,1.17,0.83,2.00,2.20,0.49,2.80,0.65,1.16,0.80,,
February,3.66,1.22,1.40,1.38,3.74,0.73,2.13,1.30,1.69,0.55,,
March,0.63,1.60,1.32,2.60,1.77,2.33,1.66,1.39,3.15,3.12,,
April,0.81,1.31,2.18,0.77,1.44,1.81,0.83,2.04,2.39,1.52,,
May,1.19,0.64,2.61,2.98,1.89,0.45,1.26,3.58,2.31,1.95,,
June,1.86,1.22,1.60,1.21,0.41,2.18,2.02,3.13,1.35,2.96,,
July,1.62,2.18,1.86,2.39,2.40,1.32,0.39,2.97,3.70,3.77,,
August,3.56,1.34,4.91,2.90,3.29,3.09,1.53,1.90,2.15,3.17,,
September,0.74,1.11,1.02,3.36,1.40,1.15,1.02,0.60,1.49,2.05,,
October,3.42,2.10,2.49,6.28,0.47,1.34,5.42,5.19,0.77,2.17,,
November,2.36,3.39,1.78,1.42,1.18,3.38,2.81,2.57,0.96,0.29,,
December,2.92,5.07,2.05,0.93,1.41,0.42,2.31,2.71,1.57,4.94,,
Total,26.10,22.35,24.05,28.22,21.60,18.69,24.18,28.03,22.69,27.29,,
Calc annual,26.10,22.35,24.05,28.22,21.60,18.69,24.18,28.03,22.69,27.29,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
