DONCASTER PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE576040,Long,-1.13253,Lat,53.529511,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.91,3.24,2.6,1.16,3.35,2.11,0.41,1.89,2.3,0.94,1.11,1.4,1.25,3.6,0.43,2.74,0.47,2.36,3.33,1.17,0.83,2,2.2,0.49,2.8,0.65,1.16,0.8,2.07,1.15,3.91,2.68,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.48,2.37,1.99,2.3,0.62,0.6,0.85,1.48,0.98,0.05,1.9,2.53,2.89,0.32,0.62,2.95,0.84,1.26,3.66,1.22,1.4,1.38,3.74,0.73,2.13,1.3,1.69,0.55,1.84,0.98,1.29,0.52,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.72,1.21,1.61,1.3,2.22,1.11,1.9,3.11,1.41,1.33,0.82,0.35,0.6,1.71,2.18,2.64,1.16,0.95,0.63,1.6,1.32,2.6,1.77,2.33,1.66,1.39,3.15,3.12,0.49,1.13,2.8,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.6,2.44,1.49,1.94,2.11,0.98,1.13,3.46,0.41,1.47,1.03,0.38,2.6,2.23,0.85,1.35,2.68,1.99,0.81,1.31,2.18,0.77,1.44,1.81,0.83,2.04,2.39,1.52,1.89,0.96,0.21,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.88,1.89,0.98,1.6,6.17,1.79,0.53,4.37,2.56,3.42,2.55,2.05,1.63,0.93,0.59,0.64,1.6,2.47,1.19,0.64,2.61,2.98,1.89,0.45,1.26,3.58,2.31,1.95,2.03,0.62,3.46,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.13,2.96,0.56,2.53,0.82,0.19,1.8,0.26,2.59,2.92,3.06,1.09,2.7,1.96,3.15,2.48,1,1.86,1.86,1.22,1.6,1.21,0.41,2.18,2.02,3.13,1.35,2.96,2.98,3.57,4.24,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.31,3.52,2.58,0.77,2.8,1.88,6.87,1.78,2.58,2.19,1.97,4.53,3.44,4.87,1.38,0.65,2.19,1.56,1.62,2.18,1.86,2.39,2.4,1.32,0.39,2.97,3.7,3.77,3.65,0.26,4.54,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.34,0.95,0.53,1.9,1.48,1.93,2.25,3.6,2.52,3.43,2.06,1.61,2.08,1.76,1.56,3,3.91,0.9,3.56,1.34,4.91,2.9,3.29,3.09,1.53,1.9,2.15,3.17,2.8,2.19,5.11,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.1,5.47,1.79,1.77,1.24,2.17,1.15,1.53,1.59,1.87,1.87,0.96,0.54,0.84,4.11,1.85,0.61,1.94,0.74,1.11,1.02,3.36,1.4,1.15,1.02,0.6,1.49,2.05,0.36,2.22,1.14,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.9,3.6,0.8,4.41,4.04,1.98,0.67,3.87,1.09,3.37,4.63,1.43,3.25,3.13,3.28,1.03,2.49,3.28,3.42,2.1,2.49,6.28,0.47,1.34,5.42,5.19,0.77,2.17,2.23,2.35,2.54,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.06,0.95,0.58,2.47,1.55,1.44,4.08,0.54,3.48,2.63,1.06,1.67,1.22,3.34,1.79,2.72,2.26,1.34,2.36,3.39,1.78,1.42,1.18,3.38,2.81,2.57,0.96,0.29,3.41,2.96,2.12,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
