"DONCASTER (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SE576040,Long,-1.132530,Lat,53.529511,,,,,,,
Station no,3/59/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.52,1.85,0.40,1.34,1.59,3.24,1.12,2.20,2.29,4.51,,
February,2.42,0.49,1.64,2.16,1.76,1.20,1.67,3.56,0.04,1.82,,
March,2.35,1.87,0.64,1.52,2.29,0.74,0.97,1.87,0.78,1.36,,
April,0.69,0.63,1.99,0.31,0.68,2.06,0.16,0.28,2.73,0.58,,
May,4.22,1.48,1.65,3.26,2.51,0.24,0.88,1.79,0.51,0.90,,
June,0.83,1.92,1.30,1.68,2.57,4.10,1.85,4.06,1.24,0.41,,
July,1.62,1.62,2.75,1.72,0.64,3.65,4.24,4.98,1.54,2.44,,
August,4.45,0.93,2.14,5.26,0.49,5.96,5.51,3.21,0.32,3.27,,
September,1.17,2.23,1.57,1.48,0.76,1.81,3.48,1.63,0.00,2.86,,
October,1.27,2.68,1.89,2.55,1.48,1.23,1.02,1.35,1.67,5.64,,
November,5.08,1.58,1.24,4.32,1.78,0.69,2.37,0.73,2.90,3.28,,
December,1.50,1.50,1.12,2.31,2.19,1.99,1.89,3.10,2.59,1.87,,
Total,27.12,18.78,18.33,27.91,18.74,26.91,25.16,28.76,16.61,28.94,,
Calc annual,27.12,18.78,18.33,27.91,18.74,26.91,25.16,28.76,16.61,28.94,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
