DONCASTER PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE576040,Long,-1.13253,Lat,53.529511,Elevation,31,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3159/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,1.68,1.04,2.16,1.65,1.3,3.06,3.48,1.67,3.8,1.91,3.43,2.11,3.01,2.21,1.91,1.79,2.13,4.28,0.76,1.06,1.52,1.85,0.4,1.34,1.59,3.24,1.12,2.2,2.29,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,2.02,0.34,3.55,0.72,2.39,2.77,2.92,1.23,0.76,1.72,2.39,1.01,0.7,1.59,1.42,2.25,2.1,1.07,0.77,3.93,2.42,0.49,1.64,2.16,1.76,1.2,1.67,3.56,0.04,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,0.32,1.56,3.12,1.98,1.21,1.27,2.25,0.27,1.67,1.55,3.6,2.12,0.63,0.38,0.36,1.05,4.04,0.49,1.52,0.94,2.35,1.87,0.64,1.52,2.29,0.74,0.97,1.87,0.78,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,3.03,1.72,0.89,2.31,1.81,1.51,3.37,0.06,1.43,1.79,1.28,0.81,0.98,1.96,1.31,1.09,1.9,1.41,2.09,2.75,0.69,0.63,1.99,0.31,0.68,2.06,0.16,0.28,2.73,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,2.32,6.8,2.47,0.88,0.46,1.21,3.29,2.68,1.58,0.54,2.1,2.58,1.86,2.16,1.63,1.63,1.51,1.38,1.44,2.12,4.22,1.48,1.65,3.26,2.51,0.24,0.88,1.79,0.51,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,5.7,1.08,2.52,1.68,2.59,3.81,2.49,1.82,1.6,1.14,0.27,1.16,0.82,2.16,2.1,2.54,3.14,2.48,0.4,1.1,0.83,1.92,1.3,1.68,2.57,4.1,1.85,4.06,1.24,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,4.99,3.32,1.45,2.14,0.91,3.5,2.54,2.52,3.34,5.02,2.83,1.15,0.68,1.96,1.78,4.79,0.91,0.95,3.79,1.74,1.62,1.62,2.75,1.72,0.64,3.65,4.24,4.98,1.54,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,4.94,2.34,0.38,1.12,1.97,1.61,0.17,1.69,1.61,0.47,2.24,2.54,1.91,3.05,1.72,4.73,0.51,3.77,1.71,3.24,4.45,0.93,2.14,5.26,0.49,5.96,5.51,3.21,0.32,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,4.37,3.05,1.59,1.68,1.44,4.58,2.29,1.16,1.95,1.2,0.67,0.37,1.84,2.77,3.27,1.15,2.61,1.22,0.98,0.63,2.68,1.17,2.23,1.57,1.48,0.76,1.81,3.48,1.63,0,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,2.16,0.9,3.06,5.36,1.33,3.19,2.31,3.06,2.28,2.51,3.46,2.07,2.22,1.42,2.32,2.88,0.87,0.66,1.4,3.63,0.72,1.27,2.68,1.89,2.55,1.48,1.23,1.02,1.35,1.67,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
