AUCHENDENNAN,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 36517 83823,Long,-4.62443,Lat,56.019356,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4425,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,8.5,6.5,6.7,4.3,8.7,5.6,1.8,3.6,1.6,6.4,6.2,,,,,,
February,,,,1,1.7,1.3,6.8,6.5,2.7,2.4,4.9,,4.5,5.7,,,,,,
March,,,,2.5,6,3,7.9,3,3.4,5.3,3,,6,2,,,,,,
April,,,,0.3,2,2.6,1.8,4,2.7,2.3,3.5,2,2.4,3.1,,,,,,
May,,,,3,1.5,3.7,0.7,2.4,4.8,3.5,1.3,3.1,2.4,2.5,,,,,,
June,,,,3,2,3.8,4,4.6,4.3,4.4,2,4.5,5.8,3.3,,,,,,
July,,,,6.5,2.5,1.7,2.6,5,0.8,5.8,3.1,6.5,6.9,4.1,,,,,,
August,,,,6.5,6.5,5.1,6.6,7.9,3.6,5,1.5,5.2,3.3,5,,,,,,
September,,,,6,6.8,4.2,4.1,1.8,4.7,8.3,2.6,3,5.6,3.6,,,,,,
October,,,,9.5,10.5,7.6,7.5,8.2,8.3,3.7,0.7,2.8,4,6.8,,,,,,
November,,,,5,7,5,4,8.4,2,1.8,6.6,7.7,7.8,9.5,,,,,,
December,,,,4.5,3.5,6.2,6.5,7.9,1.5,3.6,5.7,6.4,6,8.6,,,,,,
Total,,,,56.3,56.5,50.9,56.8,68.4,44.4,47.9,38.5,,61.1,60.4,,,,,,
,,,,,,,,,,,,,,,,,,,,
No elevation given,,,,,,,,,,,,,,,,,,,,
approx,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4425,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
