GLEN BRUAR (BRUAR LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN833762,Long,-3.915709,Lat,56.862498,Elevation,1600,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.98,6.06,6.15,2.63,6.86,6.15,6.75,8.74,1.65,6.96,4.51,7.43,5.79,5.85,1.66,4.24,8.62,6.29,3.84,0.48,0.74,5,5.59,4.53,,,,,,
February,,1.26,3.87,8.78,2.17,7.2,4.73,2.12,5.09,2.01,0.77,4.88,0.22,4.33,0.35,5.71,1.92,2.92,2.34,4.61,1.3,3.25,1.55,3.63,1.42,,,,,,
March,,6.97,2.12,2.17,0.61,2.27,3.18,4.53,5.08,1.25,2.84,3.25,5.67,2.77,1.14,3.18,1.67,1.27,3.01,3.36,3.5,1.27,1.43,2.13,0.82,,,,,,
April,,0.93,4.43,3.34,1.85,5.09,2.86,3.2,1.42,1.99,2.3,2.93,5.3,2.91,3.41,3.12,1.08,1.25,0.7,2.05,2.24,1.43,2.96,3.33,,,,,,,
May,4.2,3.46,3.82,5.75,4.91,6.49,4.13,3.62,1.78,4.49,2.68,4.57,3.98,1.94,2.23,0.92,1.08,2.61,4.61,0.65,1.57,2.77,4.36,2.3,,,,,,,
June,1.29,0.99,2.77,1.53,2.31,0.71,3.82,4.3,3.53,2.78,2.52,5.05,1.06,1.15,0.11,6,1.29,1.89,6.35,1.73,0.6,0.31,1.41,3.89,,,,,,,
July,3.57,2.95,4.98,2.99,6.11,3.41,2.52,6.58,1.76,5.02,2.75,6.06,6.2,2.88,1.32,1.18,5.21,4.55,4.78,6.7,4.93,3.47,3.59,2.1,3.37,,,,,,
August,3.52,5.37,3.37,6.3,5.01,3.19,4.09,4.21,5.5,5.73,6.65,2.34,2.24,2.83,4.6,3.46,3.72,2.42,2.58,2.45,1.31,5.68,6.08,4.44,3.66,,,,,,
September,2.7,2.25,2.31,5.55,6.22,3.59,3.25,6.33,3.49,2.39,5.56,1.85,4.49,2.35,5.26,6.28,3.66,3.4,4.72,3.99,2.18,2.52,4.37,3.88,,,,,,,
October,4.7,3.94,2.1,7.25,4.13,4.4,6.24,4.83,5.17,7.12,8.36,4.07,9.19,6.3,7.56,8.36,5.35,3.46,11.16,5,4.03,4.6,4.85,8.05,,,,,,,
November,6.47,3.08,2.79,3.39,3.35,1.37,7.5,3.74,4.88,6.32,6.64,8.01,5.1,4.71,0.82,5.55,4.08,0.62,6.14,8.04,7.59,5.56,1.58,2.39,,,,,,,
December,5.42,6.13,5.65,3,8.16,5.29,2.2,1.14,2.76,10.61,5.84,4.53,7.25,0.9,8.34,1.82,5.74,0.82,3.9,2.27,3.28,4.91,6.06,1.9,,,,,,,
Total,,43.31,44.27,56.2,47.46,49.87,50.67,51.35,49.2,51.36,53.87,52.05,58.13,38.86,40.99,47.24,39.04,33.83,56.58,44.69,33.01,36.51,43.24,43.63,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approx 100 yds N of Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No of corrections for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
