"DUNGANNON, KILLYMAN RECTORY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH8450060900,Long,-6.696657,Lat,54.489636,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,2.44,,3,1.47,3.05,3.36,1.72,3.26,3.01,1.98,3.16,3.87,4.32,4.71,,,,,,,,,
February,,,,,,,,,2.61,1.84,3.62,2.91,2.66,1.34,3.31,3.53,3.66,-999,4.44,-999,2.51,1.16,,,,,,,,,
March,,,,,,,,,-999,2.78,1.77,1.2,3.53,2.8,3.75,0.91,1.64,-999,1.29,3.41,3.15,2.84,,,,,,,,,
April,,,,,,,,,-999,-999,2.27,1.84,-999,-999,1.61,2.33,3.74,2.04,1.2,1.18,3.12,1.13,,,,,,,,,
May,,,,,,,,,3.1,-999,2.17,1.72,-999,-999,1.81,1.42,3.83,3.82,2.44,,3.61,1.9,,,,,,,,,
June,,,,,,,,,2.03,3.05,3.94,1.85,5.27,3.89,1.76,2.49,2.31,2.44,1.25,,2.44,,,,,,,,,,
July,,,,,,,,,4.23,2.64,2.99,2.7,3.4,1.31,2.74,3.97,2.74,-999,3.95,0.52,3.31,,,,,,,,,,
August,,,,,,,,,-999,-999,8.3,2.14,5.55,0.94,3.3,-999,2.08,-999,3.43,3.72,2,,,,,,,,,,
September,,,,,,,,,-999,-999,0.97,-999,0.67,3.5,1.3,-999,0.93,2.54,6.25,3.01,2.05,,,,,,,,,,
October,,,,,,,,,2.1,5.62,1.65,-999,2.65,2.65,1.6,2.6,6.28,6.58,3.97,1.38,4.84,,,,,,,,,,
November,,,,,,,,,3.08,1.29,2.85,3.26,3.3,2.45,3.84,1.73,3.7,4.04,3.89,2.48,2.86,,,,,,,,,,
December,,,,,,,,,2.62,3.2,3.3,4.05,4.93,2.8,5.47,4.92,2.51,2.43,4.19,7.24,3.9,,,,,,,,,,
Total,,,,,,,,,35.59,,36.83,27.4,38.4,32.21,32.21,31.89,36.43,39.21,39.46,,38.11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brackets:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Mar/Apr 6.26; Aug/Set 7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Apr/May 6.9; Aug/Sept 4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Sept/Oct 4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Apr/May 3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Apr/May 7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Aug/Sept 4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Feb/Mar 5.75; July/Aug 7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 May and june estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
